	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
39	en_ga	ga	unigram	500.0	75	42.835798816568044
2	en_ga	en	bpe	500.0	30	39.547707100591715
5	en_ga	en	unigram	500.0	66	38.68811637080868
29	en_ga	ga	hft	500.0	8	48.28266765285996
22	en_ga	ga	bpe	500.0	65	43.76220414201183
15	en_ga	en	hft	500.0	8	42.60108481262328
20	en_ga	en	hft	750.0	26	36.35922090729783
36	en_ga	ga	unigram	750.0	40	38.29807692307692
25	en_ga	ga	hft	750.0	63	41.17430966469428
14	en_ga	en	unigram	750.0	37	34.21363412228797
3	en_ga	en	bpe	1000.0	13	32.15803747534517
28	en_ga	ga	bpe	1000.0	19	35.768121301775146
27	en_ga	ga	hft	1500.0	42	32.48828895463511
0	en_ga	en	unigram	1500.0	14	28.18602071005917
41	en_ga	ga	unigram	1500.0	16	32.10638560157791
9	en_ga	en	hft	1500.0	37	28.578895463510847
24	en_ga	ga	bpe	2000.0	7	30.01812130177515
12	en_ga	en	bpe	2000.0	5	26.710798816568047
6	en_ga	en	unigram	3000.0	5	24.211908284023668
40	en_ga	ga	unigram	3000.0	6	27.795488165680474
10	en_ga	en	hft	3000.0	11	23.413091715976332
31	en_ga	ga	hft	3000.0	13	26.79499506903353
1	en_ga	en	bpe	4000.0	2	22.87389053254438
37	en_ga	ga	hft	4000.0	8	25.180473372781066
33	en_ga	ga	bpe	4000.0	3	25.90655818540434
7	en_ga	en	hft	4000.0	7	21.89792899408284
8	en_ga	en	unigram	4000.0	3	23.025271203155818
21	en_ga	ga	unigram	4000.0	4	26.531065088757398
17	en_ga	en	hft	6000.0	3	20.34060650887574
34	en_ga	ga	hft	6000.0	4	23.283900394477318
38	en_ga	ga	unigram	6000.0	2	25.115138067061142
19	en_ga	en	unigram	6000.0	2	21.900271203155818
13	en_ga	en	bpe	8000.0	1	20.460552268244577
16	en_ga	en	hft	8000.0	2	19.369329388560157
32	en_ga	ga	bpe	8000.0	1	23.16346153846154
35	en_ga	ga	hft	8000.0	2	22.261834319526628
26	en_ga	ga	unigram	8000.0	1	24.52206607495069
18	en_ga	en	unigram	8000.0	1	21.45870315581854
30	en_ga	ga	bpe	16000.0	1	21.496425049309664
4	en_ga	en	bpe	16000.0	1	19.072978303747533
11	en_ga	en	bpe	32000.0	1	18.77292899408284
23	en_ga	ga	bpe	32000.0	1	20.82655325443787
