	dataset	lang	tokenizer	vocab_size	0	10	100
39	en_ga	ga	ga_unigram_0.5k	500.0	0.8	0.8	15.0
2	en_ga	en	en_bpe_0.5k	500.0	2.0	2.6	11.600000000000001
5	en_ga	en	en_unigram_0.5k	500.0	0.8	0.8	19.6
29	en_ga	ga	ga_hft_0.5k	500.0	0.0	5.800000000000001	8.0
22	en_ga	ga	ga_bpe_0.5k	500.0	1.6	2.4	7.6
15	en_ga	en	en_hft_0.5k	500.0	0.0	5.800000000000001	8.799999999999999
20	en_ga	en	en_hft_0.75k	750.0	0.0	4.0	6.133333333333333
36	en_ga	ga	ga_unigram_0.75k	750.0	0.8	0.8	36.8
25	en_ga	ga	ga_hft_0.75k	750.0	0.0	4.133333333333333	5.733333333333333
14	en_ga	en	en_unigram_0.75k	750.0	0.5333333333333333	0.8	41.6
3	en_ga	en	en_bpe_1.0k	1000.0	1.9	3.8	38.3
28	en_ga	ga	ga_bpe_1.0k	1000.0	1.5	3.4000000000000004	31.1
27	en_ga	ga	ga_hft_1.5k	1500.0	0.0	2.0	57.99999999999999
0	en_ga	en	en_unigram_1.5k	1500.0	0.5333333333333333	0.6666666666666667	71.73333333333333
41	en_ga	ga	ga_unigram_1.5k	1500.0	0.6	0.6	68.73333333333333
9	en_ga	en	en_hft_1.5k	1500.0	0.0	2.1333333333333333	62.73333333333333
24	en_ga	ga	ga_bpe_2.0k	2000.0	1.5	6.800000000000001	74.2
12	en_ga	en	en_bpe_2.0k	2000.0	1.8499999999999999	8.7	77.14999999999999
6	en_ga	en	en_unigram_3.0k	3000.0	0.36666666666666664	28.299999999999997	89.46666666666667
40	en_ga	ga	ga_unigram_3.0k	3000.0	0.33333333333333337	25.633333333333336	87.33333333333333
10	en_ga	en	en_hft_3.0k	3000.0	0.0	1.4333333333333333	89.7
31	en_ga	ga	ga_hft_3.0k	3000.0	0.0	1.2666666666666666	88.33333333333333
1	en_ga	en	en_bpe_4.0k	4000.0	3.2750000000000004	27.474999999999998	89.35
37	en_ga	ga	ga_hft_4.0k	4000.0	0.0	23.65	92.4
33	en_ga	ga	ga_bpe_4.0k	4000.0	3.0	19.925	88.075
7	en_ga	en	en_hft_4.0k	4000.0	0.0	33.7	95.1
8	en_ga	en	en_unigram_4.0k	4000.0	0.325	45.15	93.025
21	en_ga	ga	ga_unigram_4.0k	4000.0	0.325	42.575	91.35
17	en_ga	en	en_hft_6.0k	6000.0	0.0	63.449999999999996	96.96666666666667
34	en_ga	ga	ga_hft_6.0k	6000.0	0.0	59.31666666666666	96.36666666666667
38	en_ga	ga	ga_unigram_6.0k	6000.0	0.26666666666666666	63.96666666666667	94.85
19	en_ga	en	en_unigram_6.0k	6000.0	0.23333333333333336	66.64999999999999	95.95
13	en_ga	en	en_bpe_8.0k	8000.0	8.9375	66.225	88.58749999999999
16	en_ga	en	en_hft_8.0k	8000.0	0.0	78.01249999999999	98.625
32	en_ga	ga	ga_bpe_8.0k	8000.0	7.7875	64.67500000000001	89.225
35	en_ga	ga	ga_hft_8.0k	8000.0	0.0	73.7125	97.275
26	en_ga	ga	ga_unigram_8.0k	8000.0	0.6875	74.38749999999999	95.875
18	en_ga	en	en_unigram_8.0k	8000.0	0.775	76.0625	96.4875
30	en_ga	ga	ga_bpe_16.0k	16000.0	23.71875	65.11875	74.925
4	en_ga	en	en_bpe_16.0k	16000.0	27.518749999999997	62.35625	71.33749999999999
11	en_ga	en	en_bpe_32.0k	32000.0	62.946875000000006	32.15625	36.484375
23	en_ga	ga	ga_bpe_32.0k	32000.0	57.746874999999996	37.221875	41.58125
