	dataset	lang	tokenizer	vocab_size	0	10	100
2	en_hi	en	en_bpe_0.5k	500.0	0.6	0.0	0.0
5	en_hi	en	en_unigram_0.5k	500.0	0.6	0.0	0.0
33	en_hi	hi	hi_hft_0.5k	500.0	0.0	34.4	50.4
32	en_hi	hi	hi_unigram_0.5k	500.0	0.6	0.0	0.0
24	en_hi	hi	hi_bpe_0.5k	500.0	0.6	0.0	0.0
15	en_hi	en	en_hft_0.5k	500.0	0.0	71.39999999999999	103.8
20	en_hi	en	en_hft_0.75k	750.0	0.0	47.599999999999994	69.19999999999999
37	en_hi	hi	hi_unigram_0.75k	750.0	0.4	0.0	0.0
23	en_hi	hi	hi_hft_0.75k	750.0	0.0	22.933333333333334	33.6
14	en_hi	en	en_unigram_0.75k	750.0	0.4	0.0	0.0
38	en_hi	hi	hi_bpe_1.0k	1000.0	0.3	0.0	0.1
3	en_hi	en	en_bpe_1.0k	1000.0	0.3	0.0	0.2
34	en_hi	hi	hi_unigram_1.5k	1500.0	0.2	0.13333333333333333	0.13333333333333333
29	en_hi	hi	hi_hft_1.5k	1500.0	0.0	11.466666666666667	16.8
0	en_hi	en	en_unigram_1.5k	1500.0	0.2	0.0	0.13333333333333333
9	en_hi	en	en_hft_1.5k	1500.0	0.0	23.799999999999997	34.599999999999994
12	en_hi	en	en_bpe_2.0k	2000.0	0.15	0.05	0.2
39	en_hi	hi	hi_bpe_2.0k	2000.0	0.2	0.15	0.3
10	en_hi	en	en_hft_3.0k	3000.0	0.0	11.899999999999999	17.299999999999997
31	en_hi	hi	hi_unigram_3.0k	3000.0	0.1	0.06666666666666667	0.06666666666666667
35	en_hi	hi	hi_hft_3.0k	3000.0	0.0	5.833333333333333	8.633333333333333
6	en_hi	en	en_unigram_3.0k	3000.0	0.1	0.0	0.06666666666666667
40	en_hi	hi	hi_unigram_4.0k	4000.0	0.1	0.05	0.075
1	en_hi	en	en_bpe_4.0k	4000.0	0.125	0.1	0.5
26	en_hi	hi	hi_hft_4.0k	4000.0	0.0	4.45	6.6000000000000005
7	en_hi	en	en_hft_4.0k	4000.0	0.0	8.924999999999999	12.975
30	en_hi	hi	hi_bpe_4.0k	4000.0	0.22499999999999998	0.15	0.9249999999999999
8	en_hi	en	en_unigram_4.0k	4000.0	0.075	0.0	0.05
19	en_hi	en	en_unigram_6.0k	6000.0	0.06666666666666667	0.0	0.03333333333333333
25	en_hi	hi	hi_unigram_6.0k	6000.0	0.1	0.03333333333333333	0.05
27	en_hi	hi	hi_hft_6.0k	6000.0	0.0	3.1	4.583333333333333
17	en_hi	en	en_hft_6.0k	6000.0	0.0	5.949999999999999	8.666666666666668
36	en_hi	hi	hi_hft_8.0k	8000.0	0.0	2.4	3.5249999999999995
41	en_hi	hi	hi_bpe_8.0k	8000.0	0.25	0.2375	2.625
22	en_hi	hi	hi_unigram_8.0k	8000.0	0.075	0.025	0.0375
18	en_hi	en	en_unigram_8.0k	8000.0	0.0375	0.0	0.025
16	en_hi	en	en_hft_8.0k	8000.0	0.0	4.4624999999999995	6.5375000000000005
13	en_hi	en	en_bpe_8.0k	8000.0	0.11249999999999999	0.1875	1.825
4	en_hi	en	en_bpe_16.0k	16000.0	0.1625	0.61875	5.35
28	en_hi	hi	hi_bpe_16.0k	16000.0	0.24375	0.5875	6.1625
11	en_hi	en	en_bpe_32.0k	32000.0	0.4	2.084375	37.4125
21	en_hi	hi	hi_bpe_32.0k	32000.0	0.475	1.725	37.987500000000004
