	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
2	en_lt	en	bpe	500.0	1	57.66378911305432
36	en_lt	lt	unigram	500.0	1	61.5188885705019
5	en_lt	en	unigram	500.0	1	56.07728301839262
34	en_lt	lt	bpe	500.0	1	61.71106170864652
32	en_lt	lt	hft	500.0	2	67.13231760886474
15	en_lt	en	hft	500.0	2	66.17400723613153
20	en_lt	en	hft	750.0	3	54.71041618777415
37	en_lt	lt	unigram	750.0	1	54.58753263029288
24	en_lt	lt	hft	750.0	4	57.20591486052026
14	en_lt	en	unigram	750.0	1	49.112621350051796
3	en_lt	en	bpe	1000.0	1	47.279893126934596
33	en_lt	lt	bpe	1000.0	1	50.26702679383953
25	en_lt	lt	unigram	1500.0	1	44.974623157510244
21	en_lt	lt	hft	1500.0	15	43.70817103469123
0	en_lt	en	unigram	1500.0	1	40.63245773412727
9	en_lt	en	hft	1500.0	34	42.444644223532855
12	en_lt	en	bpe	2000.0	1	39.46993762064155
22	en_lt	lt	bpe	2000.0	1	41.526647416499515
35	en_lt	lt	hft	3000.0	1702	34.95246604717656
6	en_lt	en	unigram	3000.0	1	34.80013729126846
30	en_lt	lt	unigram	3000.0	1	37.37189717009947
10	en_lt	en	hft	3000.0	1319	34.77337494056485
39	en_lt	lt	bpe	4000.0	1	34.90701193111505
1	en_lt	en	bpe	4000.0	1	34.10609371703514
7	en_lt	en	hft	4000.0	771	32.545282501975926
8	en_lt	en	unigram	4000.0	1	33.05799139095578
26	en_lt	lt	hft	4000.0	1123	32.361400370938334
27	en_lt	lt	unigram	4000.0	1	34.9198625197986
28	en_lt	lt	unigram	6000.0	1	32.03519978083779
23	en_lt	lt	hft	6000.0	592	29.31615250666776
19	en_lt	en	unigram	6000.0	1	31.336322672267478
17	en_lt	en	hft	6000.0	357	30.357368227147774
29	en_lt	lt	bpe	8000.0	1	30.22467747572999
40	en_lt	lt	hft	8000.0	372	27.67941386704789
18	en_lt	en	unigram	8000.0	1	30.460642120079477
38	en_lt	lt	unigram	8000.0	1	30.37196172218671
16	en_lt	en	hft	8000.0	191	29.258633448057612
13	en_lt	en	bpe	8000.0	1	30.900189877602944
4	en_lt	en	bpe	16000.0	1	29.354924694479696
41	en_lt	lt	bpe	16000.0	1	27.216605315943106
31	en_lt	lt	bpe	32000.0	1	25.36844442065289
11	en_lt	en	bpe	32000.0	1	28.73413986705419
