	dataset	lang	tokenizer	vocab_size	0	10	100
2	en_lt	en	en_bpe_0.5k	500.0	53.0	16.400000000000002	24.8
36	en_lt	lt	lt_unigram_0.5k	500.0	48.8	17.599999999999998	27.800000000000004
5	en_lt	en	en_unigram_0.5k	500.0	53.0	16.400000000000002	24.8
34	en_lt	lt	lt_bpe_0.5k	500.0	48.8	17.599999999999998	27.800000000000004
32	en_lt	lt	lt_hft_0.5k	500.0	0.0	12.8	21.8
15	en_lt	en	en_hft_0.5k	500.0	0.0	12.2	19.2
20	en_lt	en	en_hft_0.75k	750.0	0.0	8.133333333333333	12.8
37	en_lt	lt	lt_unigram_0.75k	750.0	65.86666666666666	11.733333333333333	18.53333333333333
24	en_lt	lt	lt_hft_0.75k	750.0	0.0	8.533333333333333	14.533333333333335
14	en_lt	en	en_unigram_0.75k	750.0	68.66666666666667	10.933333333333334	16.53333333333333
3	en_lt	en	en_bpe_1.0k	1000.0	76.5	8.200000000000001	12.4
33	en_lt	lt	lt_bpe_1.0k	1000.0	74.4	8.799999999999999	13.900000000000002
25	en_lt	lt	lt_unigram_1.5k	1500.0	82.93333333333334	5.866666666666666	9.266666666666666
21	en_lt	lt	lt_hft_1.5k	1500.0	0.0	4.266666666666667	7.2666666666666675
0	en_lt	en	en_unigram_1.5k	1500.0	84.33333333333334	5.466666666666667	8.266666666666666
9	en_lt	en	en_hft_1.5k	1500.0	0.0	4.066666666666666	6.4
12	en_lt	en	en_bpe_2.0k	2000.0	88.25	4.1000000000000005	6.2
22	en_lt	lt	lt_bpe_2.0k	2000.0	87.2	4.3999999999999995	6.950000000000001
35	en_lt	lt	lt_hft_3.0k	3000.0	0.0	2.1333333333333333	3.6333333333333337
6	en_lt	en	en_unigram_3.0k	3000.0	92.16666666666666	2.7333333333333334	4.133333333333333
30	en_lt	lt	lt_unigram_3.0k	3000.0	91.46666666666667	2.933333333333333	4.633333333333333
10	en_lt	en	en_hft_3.0k	3000.0	0.0	2.033333333333333	3.2
39	en_lt	lt	lt_bpe_4.0k	4000.0	93.60000000000001	2.1999999999999997	3.4750000000000005
1	en_lt	en	en_bpe_4.0k	4000.0	94.125	2.0500000000000003	3.1
7	en_lt	en	en_hft_4.0k	4000.0	0.0	1.525	2.4
8	en_lt	en	en_unigram_4.0k	4000.0	94.125	2.0500000000000003	3.1
26	en_lt	lt	lt_hft_4.0k	4000.0	0.0	1.6	2.725
27	en_lt	lt	lt_unigram_4.0k	4000.0	93.60000000000001	2.1999999999999997	3.4750000000000005
28	en_lt	lt	lt_unigram_6.0k	6000.0	95.73333333333333	1.4666666666666666	2.3166666666666664
23	en_lt	lt	lt_hft_6.0k	6000.0	0.0	1.0666666666666667	1.8166666666666669
19	en_lt	en	en_unigram_6.0k	6000.0	96.08333333333333	1.3666666666666667	2.0666666666666664
17	en_lt	en	en_hft_6.0k	6000.0	0.0	1.0166666666666666	1.6
29	en_lt	lt	lt_bpe_8.0k	8000.0	96.8	1.0999999999999999	1.7375000000000003
40	en_lt	lt	lt_hft_8.0k	8000.0	0.0	0.8	1.3625
18	en_lt	en	en_unigram_8.0k	8000.0	97.0625	1.0250000000000001	1.55
38	en_lt	lt	lt_unigram_8.0k	8000.0	96.8	1.0999999999999999	1.7375000000000003
16	en_lt	en	en_hft_8.0k	8000.0	0.0	0.775	1.2375
13	en_lt	en	en_bpe_8.0k	8000.0	97.0625	1.0250000000000001	1.55
4	en_lt	en	en_bpe_16.0k	16000.0	98.53125	0.5125000000000001	0.775
41	en_lt	lt	lt_bpe_16.0k	16000.0	98.4	0.5499999999999999	0.8687500000000001
31	en_lt	lt	lt_bpe_32.0k	32000.0	99.2	0.27499999999999997	0.43437500000000007
11	en_lt	en	en_bpe_32.0k	32000.0	99.265625	0.25625000000000003	0.3875
