	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
37	en_mr	mr	bpe	500.0	147	47.69956527970191
2	en_mr	en	bpe	500.0	107	43.890460039172595
29	en_mr	mr	unigram	500.0	208	46.87082596856638
5	en_mr	en	unigram	500.0	2	43.060383127119856
40	en_mr	mr	hft	500.0	20	59.631777576076054
15	en_mr	en	hft	500.0	2	43.031268094962364
20	en_mr	en	hft	750.0	3	41.568767018583095
23	en_mr	mr	unigram	750.0	140	40.56814598958582
14	en_mr	en	unigram	750.0	8	38.23737639134381
41	en_mr	mr	hft	750.0	40	53.12855300243634
39	en_mr	mr	bpe	1000.0	73	37.94549276262361
3	en_mr	en	bpe	1000.0	50	36.008933263268524
0	en_mr	en	unigram	1500.0	36	31.55620312425357
36	en_mr	mr	hft	1500.0	124	44.03019156355993
31	en_mr	mr	unigram	1500.0	55	32.409067023360244
9	en_mr	en	hft	1500.0	106	32.36282424879377
12	en_mr	en	bpe	2000.0	14	30.04543065972388
30	en_mr	mr	bpe	2000.0	18	30.881383461520088
34	en_mr	mr	hft	3000.0	43	38.046624946257104
33	en_mr	mr	unigram	3000.0	21	26.86069841876463
10	en_mr	en	hft	3000.0	34	26.35288778483734
6	en_mr	en	unigram	3000.0	13	26.940428987722733
22	en_mr	mr	unigram	4000.0	14	25.210863230306217
1	en_mr	en	bpe	4000.0	5	25.78039459227058
35	en_mr	mr	bpe	4000.0	8	25.664739884393065
28	en_mr	mr	hft	4000.0	27	36.19715282090479
8	en_mr	en	unigram	4000.0	9	25.60125161228682
7	en_mr	en	hft	4000.0	20	24.62996226054555
19	en_mr	en	unigram	6000.0	5	24.158219079921654
26	en_mr	mr	hft	6000.0	14	34.16275736874791
17	en_mr	en	hft	6000.0	10	22.787703625853915
32	en_mr	mr	unigram	6000.0	7	23.3724263125209
16	en_mr	en	hft	8000.0	6	21.789184541155112
13	en_mr	en	bpe	8000.0	3	23.028376248029428
25	en_mr	mr	hft	8000.0	9	32.91926623035398
27	en_mr	mr	bpe	8000.0	4	21.997468112549562
24	en_mr	mr	unigram	8000.0	4	22.359719103807386
18	en_mr	en	unigram	8000.0	3	23.39540438542015
4	en_mr	en	bpe	16000.0	1	21.4249749199828
21	en_mr	mr	bpe	16000.0	2	19.508192805617924
38	en_mr	mr	bpe	32000.0	1	17.719629293460088
11	en_mr	en	bpe	32000.0	1	20.573687479099984
