	dataset	lang	tokenizer	vocab_size	0	10	100
37	en_mr	mr	mr_bpe_0.5k	500.0	0.8	0.2	2.1999999999999997
2	en_mr	en	en_bpe_0.5k	500.0	0.6	0.6	4.8
29	en_mr	mr	mr_unigram_0.5k	500.0	0.6	0.0	1.2
5	en_mr	en	en_unigram_0.5k	500.0	-10.6	8.200000000000001	11.4
40	en_mr	mr	mr_hft_0.5k	500.0	0.0	4.6	8.799999999999999
15	en_mr	en	en_hft_0.5k	500.0	0.0	9.6	12.8
20	en_mr	en	en_hft_0.75k	750.0	0.0	6.4	8.533333333333333
23	en_mr	mr	mr_unigram_0.75k	750.0	0.4	0.0	0.8
14	en_mr	en	en_unigram_0.75k	750.0	-7.066666666666667	5.466666666666667	11.333333333333332
41	en_mr	mr	mr_hft_0.75k	750.0	0.0	3.3333333333333335	6.266666666666667
39	en_mr	mr	mr_bpe_1.0k	1000.0	0.4	1.6	7.000000000000001
3	en_mr	en	en_bpe_1.0k	1000.0	0.6	1.2	9.5
0	en_mr	en	en_unigram_1.5k	1500.0	-3.5333333333333337	2.8000000000000003	41.0
36	en_mr	mr	mr_hft_1.5k	1500.0	0.0	1.6	3.5333333333333337
31	en_mr	mr	mr_unigram_1.5k	1500.0	0.2	0.06666666666666667	25.866666666666667
9	en_mr	en	en_hft_1.5k	1500.0	0.0	3.2	4.266666666666667
12	en_mr	en	en_bpe_2.0k	2000.0	0.6	3.9	38.0
30	en_mr	mr	mr_bpe_2.0k	2000.0	0.44999999999999996	3.8	23.0
34	en_mr	mr	mr_hft_3.0k	3000.0	0.0	0.8333333333333334	52.83333333333333
33	en_mr	mr	mr_unigram_3.0k	3000.0	0.1	0.06666666666666667	62.9
10	en_mr	en	en_hft_3.0k	3000.0	0.0	1.6	63.06666666666667
6	en_mr	en	en_unigram_3.0k	3000.0	-1.7666666666666668	1.4666666666666666	72.83333333333334
22	en_mr	mr	mr_unigram_4.0k	4000.0	0.1	0.125	74.875
1	en_mr	en	en_bpe_4.0k	4000.0	2.1999999999999997	8.7	76.075
35	en_mr	mr	mr_bpe_4.0k	4000.0	1.225	6.675000000000001	69.25
28	en_mr	mr	mr_hft_4.0k	4000.0	0.0	0.65	68.85
8	en_mr	en	en_unigram_4.0k	4000.0	-1.3	10.375	81.175
7	en_mr	en	en_hft_4.0k	4000.0	0.0	1.275	76.8
19	en_mr	en	en_unigram_6.0k	6000.0	-0.8833333333333334	31.4	89.2
26	en_mr	mr	mr_hft_6.0k	6000.0	0.0	0.5	82.31666666666668
17	en_mr	en	en_hft_6.0k	6000.0	0.0	8.683333333333334	88.3
32	en_mr	mr	mr_unigram_6.0k	6000.0	0.06666666666666667	15.866666666666667	85.88333333333334
16	en_mr	en	en_hft_8.0k	8000.0	0.0	39.8375	93.27499999999999
13	en_mr	en	en_bpe_8.0k	8000.0	4.8875	31.525	86.7625
25	en_mr	mr	mr_hft_8.0k	8000.0	0.0	14.4875	89.45
27	en_mr	mr	mr_bpe_8.0k	8000.0	2.7375	12.6	86.675
24	en_mr	mr	mr_unigram_8.0k	8000.0	0.11249999999999999	32.7125	90.3
18	en_mr	en	en_unigram_8.0k	8000.0	-0.65	49.0625	92.66250000000001
4	en_mr	en	en_bpe_16.0k	16000.0	12.5	63.506249999999994	84.2
21	en_mr	mr	mr_bpe_16.0k	16000.0	6.0375	57.65625	90.20625
38	en_mr	mr	mr_bpe_32.0k	32000.0	14.89375	70.99375	83.5875
11	en_mr	en	en_bpe_32.0k	32000.0	39.7	49.8875	58.7375
