	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
14	en_ga	en	char	118	1	97.1026873767258
34	en_ga	ga	char	118	1	107.824827416174
35	en_ga	ga	char	123	1	107.824827416174
30	en_ga	ga	hft	500	8	47.4725098619329
23	en_ga	ga	bpe	500	2	43.7622041420118
16	en_ga	en	hft	500	8	41.6452169625247
2	en_ga	en	bpe	500	3	39.5477071005917
42	en_ga	ga	unigram	500	3	42.835798816568
5	en_ga	en	unigram	500	4	38.6881163708087
39	en_ga	ga	unigram	750	10	38.2980769230769
15	en_ga	en	unigram	750	20	34.213634122288
26	en_ga	ga	hft	750	63	40.5465976331361
21	en_ga	en	hft	750	26	35.6751725838264
3	en_ga	en	bpe	1000	5	32.1580374753452
29	en_ga	ga	bpe	1000	5	35.7681213017751
28	en_ga	ga	hft	1500	42	32.0864151873767
0	en_ga	en	unigram	1500	13	28.1860207100592
44	en_ga	ga	unigram	1500	14	32.1063856015779
9	en_ga	en	hft	1500	37	28.1055226824458
12	en_ga	en	bpe	2000	4	26.710798816568
25	en_ga	ga	bpe	2000	5	30.0181213017752
43	en_ga	ga	unigram	3000	5	27.7954881656805
6	en_ga	en	unigram	3000	5	24.2119082840237
10	en_ga	en	hft	3000	11	23.0991124260355
32	en_ga	ga	hft	3000	13	26.5544871794872
22	en_ga	ga	unigram	4000	4	26.5310650887574
1	en_ga	en	bpe	4000	2	22.8738905325444
40	en_ga	ga	hft	4000	8	24.9801528599605
36	en_ga	ga	bpe	4000	3	25.9065581854043
8	en_ga	en	unigram	4000	3	23.0252712031558
7	en_ga	en	hft	4000	7	21.6688856015779
41	en_ga	ga	unigram	6000	2	25.1151380670611
37	en_ga	ga	hft	6000	4	23.1513806706114
18	en_ga	en	hft	6000	3	20.2035256410256
20	en_ga	en	unigram	6000	2	21.9002712031558
17	en_ga	en	hft	8000	2	19.2842702169625
27	en_ga	ga	unigram	8000	1	24.5220660749507
38	en_ga	ga	hft	8000	2	22.2022928994083
13	en_ga	en	bpe	8000	1	20.4605522682446
19	en_ga	en	unigram	8000	1	21.4587031558185
33	en_ga	ga	bpe	8000	1	23.1634615384615
4	en_ga	en	bpe	16000	1	19.0729783037475
31	en_ga	ga	bpe	16000	1	21.4964250493097
11	en_ga	en	bpe	32000	1	18.7729289940828
24	en_ga	ga	bpe	32000	1	20.8265532544379
	en_mr	en	char	141	1	105.506234175703
	en_mr	mr	char	141	1	100.26169206516
	en_mr	mr	char	188	1	100.26169206516
	en_mr	en	hft	500	2	42.0160476466209
	en_mr	en	bpe	500	2	43.8904600391726
	en_mr	mr	hft	500	20	59.3298619404768
	en_mr	mr	bpe	500	5	47.6995652797019
	en_mr	en	unigram	500	2	43.0603831271199
	en_mr	mr	unigram	500	5	46.8708259685664
	en_mr	en	hft	750	3	40.4629532317394
	en_mr	mr	unigram	750	10	40.5681459895858
	en_mr	mr	hft	750	40	52.8916065542445
	en_mr	en	unigram	750	8	38.2373763913438
	en_mr	en	bpe	1000	11	36.0089332632685
	en_mr	mr	bpe	1000	10	37.9454927626236
	en_mr	mr	hft	1500	124	43.9081354798643
	en_mr	mr	unigram	1500	49	32.4090670233602
	en_mr	en	unigram	1500	36	31.5562031242536
	en_mr	en	hft	1500	106	31.6481154158506
	en_mr	en	bpe	2000	9	30.0454306597239
	en_mr	mr	bpe	2000	9	30.8813834615201
	en_mr	en	unigram	3000	13	26.9404289877227
	en_mr	mr	hft	3000	43	37.9464959633115
	en_mr	mr	unigram	3000	20	26.8606984187646
	en_mr	en	hft	3000	34	25.9022118186595
	en_mr	en	bpe	4000	4	25.7803945922706
	en_mr	mr	bpe	4000	6	25.6647398843931
	en_mr	mr	unigram	4000	13	25.2108632303062
	en_mr	en	hft	4000	20	24.2819471647638
	en_mr	en	unigram	4000	9	25.6012516122868
	en_mr	mr	hft	4000	27	36.1093966464434
	en_mr	mr	unigram	6000	7	23.3724263125209
	en_mr	en	hft	6000	10	22.5604547843119
	en_mr	mr	hft	6000	14	34.1031863564706
	en_mr	en	unigram	6000	5	24.1582190799217
	en_mr	mr	bpe	8000	3	21.9974681125496
	en_mr	mr	hft	8000	9	32.8730234557875
	en_mr	mr	unigram	8000	4	22.3597191038074
	en_mr	en	bpe	8000	2	23.0283762480294
	en_mr	en	unigram	8000	3	23.3954043854201
	en_mr	en	hft	8000	6	21.6410930110352
	en_mr	en	bpe	16000	1	21.4249749199828
	en_mr	mr	bpe	16000	2	19.5081928056179
	en_mr	en	bpe	32000	1	20.5736874791
	en_mr	mr	bpe	32000	1	17.7196292934601
