dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
en_hi	hi	char	785	1	73.8612203247215
en_hi	en	unigram	500	1	33.6810099313898
en_hi	en	bpe	500	1	33.6699236867595
en_hi	hi	hft	500	1	57.3276689592986
en_hi	hi	unigram	500	1	36.5179138114247
en_hi	hi	bpe	500	1	36.8028820740132
en_hi	en	hft	500	1	50.9949701130082
en_hi	en	hft	750	1	50.9949701130082
en_hi	hi	unigram	750	1	32.5417378154077
en_hi	hi	hft	750	1	44.5273491440754
en_hi	en	unigram	750	1	30.6508746096488
en_hi	en	char	785	1	76.3739692348122
en_hi	en	bpe	1000	1	28.7443226167708
en_hi	hi	bpe	1000	1	30.7276965649097
en_hi	hi	unigram	1500	1	27.3316645399899
en_hi	hi	hft	1500	2	34.4853018203429
en_hi	en	unigram	1500	1	26.049859470563
en_hi	en	hft	1500	1	29.2252858958834
en_hi	hi	bpe	2000	1	26.2959598766306
en_hi	en	bpe	2000	1	24.9151748285047
en_hi	en	hft	3000	2	23.374625621503
en_hi	hi	unigram	3000	1	23.4944996724094
en_hi	hi	hft	3000	6	29.6382489604197
en_hi	en	unigram	3000	1	22.5522610984502
en_hi	hi	bpe	4000	1	22.8506446030729
en_hi	en	hft	4000	3	21.6549859169192
en_hi	hi	hft	4000	18	28.1116140663246
en_hi	en	unigram	4000	1	21.3638534057669
en_hi	en	bpe	4000	1	21.7538622238912
en_hi	hi	unigram	4000	1	22.2293188466159
en_hi	hi	hft	6000	550	26.5098039097501
en_hi	en	unigram	6000	1	19.91218944441
en_hi	en	hft	6000	6	19.6760487570544
en_hi	hi	unigram	6000	1	20.8095918046294
en_hi	hi	hft	8000	502	25.6660281613397
en_hi	en	hft	8000	19	18.5986909636227
en_hi	hi	unigram	8000	1	19.993392132883
en_hi	en	unigram	8000	1	19.0394941060815
en_hi	en	bpe	8000	1	19.3116124991938
en_hi	hi	bpe	8000	1	20.3578723909533
en_hi	hi	bpe	16000	1	18.72637957233
en_hi	en	bpe	16000	1	17.6285321469752
en_hi	en	bpe	32000	1	16.5638699209141
en_hi	hi	bpe	32000	1	17.7002313928839
lt_en	en	char	240	1	147.026889880437
lt_en	lt	char	262	1	139.215199339994
lt_en	en	hft	500	2	64.7897270863707
lt_en	en	unigram	500	1	56.0772830183926
lt_en	en	bpe	500	1	57.6637891130543
lt_en	lt	hft	500	2	65.7017992713486
lt_en	lt	bpe	500	1	61.7110617086465
lt_en	lt	unigram	500	1	61.5188885705019
lt_en	en	hft	750	3	53.6546652265778
lt_en	en	unigram	750	1	49.1126213500518
lt_en	lt	hft	750	4	56.0875578213513
lt_en	lt	unigram	750	1	54.5875326302929
lt_en	en	bpe	1000	1	47.2798931269346
lt_en	lt	bpe	1000	1	50.2670267938395
lt_en	en	hft	1500	34	41.670886693768
lt_en	en	unigram	1500	1	40.6324577341273
lt_en	lt	hft	1500	15	42.8977809826402
lt_en	lt	unigram	1500	1	44.9746231575102
lt_en	en	bpe	2000	1	39.4699376206416
lt_en	lt	bpe	2000	1	41.5266474164995
lt_en	en	unigram	3000	1	34.8001372912685
lt_en	en	hft	3000	1319	34.3417844086242
lt_en	lt	unigram	3000	1	37.3718971700995
lt_en	lt	hft	3000	1702	34.3646657618878
lt_en	en	unigram	4000	1	33.0579913909558
lt_en	en	hft	4000	771	32.2128376782661
lt_en	lt	unigram	4000	1	34.9198625197986
lt_en	lt	hft	4000	1123	31.8738841148334
lt_en	en	bpe	4000	1	34.1060937170351
lt_en	lt	bpe	4000	1	34.907011931115
lt_en	lt	unigram	6000	1	32.0351997808378
lt_en	en	unigram	6000	1	31.3363226722675
lt_en	en	hft	6000	357	30.1490586416352
lt_en	lt	hft	6000	592	28.9541979324439
lt_en	lt	bpe	8000	1	30.22467747573
lt_en	lt	hft	8000	372	27.3701007327449
lt_en	lt	unigram	8000	1	30.3719617221867
lt_en	en	bpe	8000	1	30.9001898776029
lt_en	en	unigram	8000	1	30.4606421200795
lt_en	en	hft	8000	191	29.1056623201595
lt_en	lt	bpe	16000	1	27.2166053159431
lt_en	en	bpe	16000	1	29.3549246944797
lt_en	en	bpe	32000	1	28.7341398670542
lt_en	lt	bpe	32000	1	25.3684444206529
