dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
en_ga	ga	char	118	1	107.824827416174
en_ga	ga	char	123	1	107.824827416174
en_ga	ga	unigram	500	3	42.835798816568
en_ga	ga	bpe	500	2	43.7622041420118
en_ga	ga	hft	500	8	47.4725098619329
en_ga	ga	unigram	750	10	38.2980769230769
en_ga	ga	hft	750	63	40.5465976331361
en_ga	ga	bpe	1000	5	35.7681213017751
en_ga	ga	hft	1500	42	32.0864151873767
en_ga	ga	unigram	1500	14	32.1063856015779
en_ga	ga	bpe	2000	5	30.0181213017752
en_ga	ga	unigram	3000	5	27.7954881656805
en_ga	ga	hft	3000	13	26.5544871794872
en_ga	ga	unigram	4000	4	26.5310650887574
en_ga	ga	hft	4000	8	24.9801528599605
en_ga	ga	bpe	4000	3	25.9065581854043
en_ga	ga	unigram	6000	2	25.1151380670611
en_ga	ga	hft	6000	4	23.1513806706114
en_ga	ga	unigram	8000	1	24.5220660749507
en_ga	ga	hft	8000	2	22.2022928994083
en_ga	ga	bpe	8000	1	23.1634615384615
en_ga	ga	bpe	16000	1	21.4964250493097
en_ga	ga	bpe	32000	1	20.8265532544379
en_hi	hi	hft	500	1	57.3276689592986
en_hi	hi	unigram	500	1	36.5179138114247
en_hi	hi	bpe	500	1	36.8028820740132
en_hi	hi	unigram	750	1	32.5417378154077
en_hi	hi	hft	750	1	44.5273491440754
en_hi	hi	char	785	1	73.8612203247215
en_hi	hi	bpe	1000	1	30.7276965649097
en_hi	hi	unigram	1500	1	27.3316645399899
en_hi	hi	hft	1500	2	34.4853018203429
en_hi	hi	bpe	2000	1	26.2959598766306
en_hi	hi	unigram	3000	1	23.4944996724094
en_hi	hi	hft	3000	6	29.6382489604197
en_hi	hi	bpe	4000	1	22.8506446030729
en_hi	hi	hft	4000	18	28.1116140663246
en_hi	hi	unigram	4000	1	22.2293188466159
en_hi	hi	hft	6000	550	26.5098039097501
en_hi	hi	unigram	6000	1	20.8095918046294
en_hi	hi	hft	8000	502	25.6660281613397
en_hi	hi	unigram	8000	1	19.993392132883
en_hi	hi	bpe	8000	1	20.3578723909533
en_hi	hi	bpe	16000	1	18.72637957233
en_hi	hi	bpe	32000	1	17.7002313928839
lt_en	lt	char	262	1	139.215199339994
lt_en	lt	hft	500	2	65.7017992713486
lt_en	lt	bpe	500	1	61.7110617086465
lt_en	lt	unigram	500	1	61.5188885705019
lt_en	lt	hft	750	4	56.0875578213513
lt_en	lt	unigram	750	1	54.5875326302929
lt_en	lt	bpe	1000	1	50.2670267938395
lt_en	lt	hft	1500	15	42.8977809826402
lt_en	lt	unigram	1500	1	44.9746231575102
lt_en	lt	bpe	2000	1	41.5266474164995
lt_en	lt	unigram	3000	1	37.3718971700995
lt_en	lt	hft	3000	1702	34.3646657618878
lt_en	lt	unigram	4000	1	34.9198625197986
lt_en	lt	hft	4000	1123	31.8738841148334
lt_en	lt	bpe	4000	1	34.907011931115
lt_en	lt	unigram	6000	1	32.0351997808378
lt_en	lt	hft	6000	592	28.9541979324439
lt_en	lt	bpe	8000	1	30.22467747573
lt_en	lt	hft	8000	372	27.3701007327449
lt_en	lt	unigram	8000	1	30.3719617221867
lt_en	lt	bpe	16000	1	27.2166053159431
lt_en	lt	bpe	32000	1	25.3684444206529
en_mr	mr	char	141	1	100.26169206516
en_mr	mr	char	188	1	100.26169206516
en_mr	mr	hft	500	20	59.3298619404768
en_mr	mr	bpe	500	5	47.6995652797019
en_mr	mr	unigram	500	5	46.8708259685664
en_mr	mr	unigram	750	10	40.5681459895858
en_mr	mr	hft	750	40	52.8916065542445
en_mr	mr	bpe	1000	10	37.9454927626236
en_mr	mr	hft	1500	124	43.9081354798643
en_mr	mr	unigram	1500	49	32.4090670233602
en_mr	mr	bpe	2000	9	30.8813834615201
en_mr	mr	hft	3000	43	37.9464959633115
en_mr	mr	unigram	3000	20	26.8606984187646
en_mr	mr	bpe	4000	6	25.6647398843931
en_mr	mr	unigram	4000	13	25.2108632303062
en_mr	mr	hft	4000	27	36.1093966464434
en_mr	mr	unigram	6000	7	23.3724263125209
en_mr	mr	hft	6000	14	34.1031863564706
en_mr	mr	bpe	8000	3	21.9974681125496
en_mr	mr	hft	8000	9	32.8730234557875
en_mr	mr	unigram	8000	4	22.3597191038074
en_mr	mr	bpe	16000	2	19.5081928056179
en_mr	mr	bpe	32000	1	17.7196292934601
