	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
20	am	bpe	3000.0	12	28.652223675604972	121.76308079729475
2	am	bpe	8000.0	5	23.321092217135384	36.25376166865126
32	am	bpe	1500.0	12	33.74659908436887	287.6783710542148
5	am	bpe	500.0	2	46.62269457161543	1076.2221162566734
8	am	bpe	750.0	3	40.652877697841724	653.0939785968687
9	am	bpe	4000.0	10	26.90359712230216	85.49057943577269
10	am	bpe	6000.0	7	24.705395683453236	51.704831495673034
34	am	bpe_hft_pretok	6000.0	15	51.24702419882276	41.83285814604381
30	am	bpe_hft_pretok	750.0	6	64.25667102681491	600.0220698719002
13	am	bpe_hft_pretok	500.0	2	69.02034009156311	956.5730889624824
12	am	bpe_hft_pretok	4000.0	21	53.02691301504251	70.80377870975596
23	am	bpe_hft_pretok	8000.0	13	50.12831916285154	28.829753015153496
6	am	bpe_hft_pretok	1500.0	18	58.5848593852191	251.28510142307843
4	am	bpe_hft_pretok	3000.0	27	54.44444081098757	103.82410924179464
7	am	hft	750.0	6	41.99512753433617	716.2838080006854
29	am	hft	6000.0	25	25.55565729234794	51.09959893227947
28	am	hft	1500.0	40	34.931458469587966	319.65009325557935
33	am	hft	8000.0	17	24.142674950948333	34.46499370119649
18	am	hft	3000.0	64	29.57468933943754	129.11591286213192
1	am	hft	500.0	3	47.67249836494441	1064.9478057244423
31	am	hft	4000.0	43	27.796272073250492	88.35486423240421
27	am	unigram	500.0	2	52.00497056899935	823.5595826206606
26	am	unigram	750.0	5	47.298463047743624	449.89005700342864
0	am	unigram	3000.0	17	36.41618705035971	63.11782089885134
19	am	unigram	8000.0	5	30.481687377370832	18.562344615815665
15	am	unigram	4000.0	12	34.55438194898627	43.935888317154905
14	am	unigram	6000.0	7	32.19614126880314	26.287712901280447
17	am	unigram	1500.0	14	41.417331589274035	162.3534774943255
24	am	unigram_hft_pretok	3000.0	24	55.05591890124264	79.51615510843372
25	am	unigram_hft_pretok	750.0	6	64.35670372792674	501.4143870882434
21	am	unigram_hft_pretok	8000.0	7	51.1056245912361	22.424851319272072
16	am	unigram_hft_pretok	500.0	2	68.6678221059516	881.2194347411877
11	am	unigram_hft_pretok	1500.0	43	58.97730542838457	200.37228855869537
3	am	unigram_hft_pretok	4000.0	17	53.720765206017006	54.66318799009056
22	am	unigram_hft_pretok	6000.0	10	52.095127534336164	32.46904256991352
