	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
9	cs	bpe	2000.0	35	32.292187008080596	229.59917544663307
24	cs	bpe	6000.0	3	27.526183230139573	55.92908614263189
25	cs	bpe	1500.0	8	35.64967467730087	345.50064939274756
15	cs	bpe	8000.0	3	26.377164445377268	38.34067098210251
13	cs	bpe	1000.0	42	37.73223843005562	602.1907916373033
23	cs	bpe	500.0	9	46.30672158673523	1554.6604863818686
8	cs	bpe	4000.0	4	29.405630181551054	94.70300676997377
22	cs	bpe	3000.0	6	30.960305383565956	137.6953572828368
28	cs	bpe	750.0	8	41.701516423549165	881.6077413273945
11	cs	bpe_hft_pretok	4000.0	20	58.243598488823594	73.58167274225804
12	cs	bpe_hft_pretok	3000.0	25	59.42252597334453	110.01348445604636
4	cs	bpe_hft_pretok	750.0	77	67.66365830622311	757.7089886244796
14	cs	bpe_hft_pretok	1500.0	50	62.99134221849092	286.88282675778936
3	cs	bpe_hft_pretok	8000.0	9	55.95757687060552	27.833014661939064
2	cs	bpe_hft_pretok	500.0	77	71.05262881729458	1350.7563626507656
1	cs	bpe_hft_pretok	6000.0	12	56.8137789904502	41.81711367697517
31	cs	hft	6000.0	24	24.1418826739427	51.00586467739555
34	cs	hft	4000.0	43	25.955189421765137	92.46342179770893
27	cs	hft	500.0	317	43.50078707104628	1537.3238643835978
0	cs	hft	8000.0	15	23.046752020149018	32.94742981963349
18	cs	hft	3000.0	67	27.571807115122258	142.6586636189752
7	cs	hft	750.0	366	39.14765452828209	987.1107264655226
36	cs	hft	1500.0	179	32.304150487984046	375.498764278957
21	cs	unigram	3000.0	27	29.903741211039982	95.1386028271058
17	cs	unigram	500.0	42	44.71216811837549	1262.1429569642025
16	cs	unigram	8000.0	7	25.611318081645503	24.425342310541758
10	cs	unigram	1500.0	71	34.15791268758527	255.33399054369312
30	cs	unigram	6000.0	11	26.66971875327946	36.20333508802606
32	cs	unigram	750.0	152	40.1404659460594	695.6538667832099
20	cs	unigram	4000.0	19	28.452172316087733	63.67150485012308
19	cs	unigram_hft_pretok	1500.0	61	66.38149333613181	222.98769710124702
35	cs	unigram_hft_pretok	8000.0	5	60.84728198132018	19.500917773108362
26	cs	unigram_hft_pretok	4000.0	16	62.45125406653374	54.251934981833735
29	cs	unigram_hft_pretok	6000.0	9	61.41546856962955	29.868162029658123
6	cs	unigram_hft_pretok	750.0	163	70.50388288382831	626.1996702358012
33	cs	unigram_hft_pretok	3000.0	24	63.380181551054676	82.18116160936263
5	cs	unigram_hft_pretok	500.0	294	73.97386924126351	1130.4189719425233
