	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
41	cs_sv	sv	bpe	500.0	116	42.22148203400293
26	cs_sv	sv	bpe	1000.0	88	35.42207875716968
29	cs_sv	sv	bpe	2000.0	28	30.842228452377892
14	cs_sv	cs	bpe	500.0	20	45.07844474761255
11	cs_sv	cs	bpe	32000.0	1	22.118506663868192
36	cs_sv	sv	bpe	8000.0	5	25.61840582319504
7	cs_sv	cs	bpe	8000.0	8	25.405446531640255
22	cs_sv	sv	bpe	32000.0	1	23.581367833534813
37	cs_sv	sv	bpe	4000.0	12	27.718665603539186
4	cs_sv	cs	bpe	2000.0	35	32.292187008080596
3	cs_sv	cs	bpe	4000.0	18	28.281902613075875
38	cs_sv	sv	bpe	16000.0	2	24.26955425808277
1	cs_sv	cs	bpe	16000.0	4	23.411533214398155
6	cs_sv	cs	bpe	1000.0	42	37.73223843005562
35	cs_sv	sv	hft	6000.0	18	24.666323722317962
23	cs_sv	sv	hft	3000.0	55	27.3968209058875
31	cs_sv	sv	hft	1500.0	161	31.45052599089483
30	cs_sv	sv	hft	750.0	480	37.48172535301834
28	cs_sv	sv	hft	8000.0	11	23.835360991795056
24	cs_sv	sv	hft	500.0	851	41.63355538979912
34	cs_sv	sv	hft	4000.0	34	26.097713418555003
0	cs_sv	cs	hft	8000.0	15	23.060656941966627
20	cs_sv	cs	hft	1500.0	179	32.32524399202435
19	cs_sv	cs	hft	4000.0	43	25.96940917200126
2	cs_sv	cs	hft	750.0	485	39.183938503515584
17	cs_sv	cs	hft	6000.0	24	24.15392486095078
15	cs_sv	cs	hft	500.0	962	45.48176618742785
10	cs_sv	cs	hft	3000.0	67	27.58356070941337
39	cs_sv	sv	unigram	8000.0	5	25.939247408626766
5	cs_sv	cs	unigram	1500.0	71	34.15791268758527
8	cs_sv	cs	unigram	8000.0	7	25.611318081645503
9	cs_sv	cs	unigram	500.0	42	44.71216811837549
33	cs_sv	sv	unigram	500.0	224	42.41793770415906
40	cs_sv	sv	unigram	3000.0	22	29.02723835489596
21	cs_sv	sv	unigram	1500.0	63	32.657321433164434
13	cs_sv	cs	unigram	3000.0	27	29.903741211039982
16	cs_sv	cs	unigram	6000.0	11	26.66971875327946
27	cs_sv	sv	unigram	4000.0	14	27.89793976182515
25	cs_sv	sv	unigram	6000.0	8	26.63085470305306
18	cs_sv	cs	unigram	750.0	152	40.1404659460594
32	cs_sv	sv	unigram	750.0	178	38.01103423441961
12	cs_sv	cs	unigram	4000.0	19	28.452172316087733
