dataset	lang	tokenizer	vocab_size	train	token	model_type
en_ga	en	en_bpe_0.5k	500	0.434456348419189	0.932243585586548	bpe
en_ga	en	en_bpe_1.0k	1000	0.264012813568115	0.660662174224854	bpe
en_ga	en	en_bpe_2.0k	2000	0.29067063331604	0.79497504234314	bpe
en_ga	en	en_bpe_4.0k	4000	0.361518144607544	0.629510641098022	bpe
en_ga	en	en_bpe_8.0k	8000	0.602829694747925	0.690132617950439	bpe
en_ga	en	en_bpe_16.0k	16000	1.03065824508667	0.700541496276856	bpe
en_ga	en	en_bpe_32.0k	32000	1.73845362663269	0.73598051071167	bpe
en_ga	ga	ga_bpe_0.5k	500	0.253964424133301	0.832423448562622	bpe
en_ga	ga	ga_bpe_1.0k	1000	0.306515455245972	0.771917343139648	bpe
en_ga	ga	ga_bpe_2.0k	2000	0.380864143371582	0.914849758148193	bpe
en_ga	ga	ga_bpe_4.0k	4000	0.439521789550781	0.709635257720947	bpe
en_ga	ga	ga_bpe_8.0k	8000	0.706770658493042	0.806578159332275	bpe
en_ga	ga	ga_bpe_16.0k	16000	1.18263411521912	0.789379596710205	bpe
en_ga	ga	ga_bpe_32.0k	32000	1.90378499031067	0.809035301208496	bpe
en_ga	en	en_unigram_0.5k	500	0.879249811172485	0.516172409057617	unigram
en_ga	en	en_unigram_0.75k	750	0.822086572647095	0.477594375610352	unigram
en_ga	en	en_unigram_1.5k	1500	0.74542498588562	0.565743923187256	unigram
en_ga	en	en_unigram_3.0k	3000	0.632347583770752	0.397359609603882	unigram
en_ga	en	en_unigram_4.0k	4000	0.577533960342407	0.499392986297607	unigram
en_ga	en	en_unigram_6.0k	6000	0.44005274772644	0.436214447021484	unigram
en_ga	en	en_unigram_8.0k	8000	0.458582878112793	0.483227729797363	unigram
en_ga	ga	ga_unigram_0.5k	500	0.936496019363403	0.54106879234314	unigram
en_ga	ga	ga_unigram_0.75k	750	0.843444347381592	0.583917617797852	unigram
en_ga	ga	ga_unigram_1.5k	1500	0.834975957870483	0.536366701126099	unigram
en_ga	ga	ga_unigram_3.0k	3000	0.779134035110474	0.531905174255371	unigram
en_ga	ga	ga_unigram_4.0k	4000	0.817176580429077	0.518885374069214	unigram
en_ga	ga	ga_unigram_6.0k	6000	0.595554113388062	0.544465303421021	unigram
en_ga	ga	ga_unigram_8.0k	8000	0.529317378997803	0.553909540176392	unigram
en_ga	en	en_hft_0.5k	500	2.21603655815125	1.95805859565735	hft
en_ga	en	en_hft_0.75k	750	3.060133934021	2.06018352508545	hft
en_ga	en	en_hft_1.5k	1500	7.41502213478088	2.21665334701538	hft
en_ga	en	en_hft_3.0k	3000	18.077742099762	2.42400503158569	hft
en_ga	en	en_hft_4.0k	4000	28.583660364151	2.51830172538757	hft
en_ga	en	en_hft_6.0k	6000	50.4875683784485	2.81585264205933	hft
en_ga	en	en_hft_8.0k	8000	80.3455829620361	2.75487017631531	hft
en_ga	ga	ga_hft_0.5k	500	2.56955623626709	2.35592865943909	hft
en_ga	ga	ga_hft_0.75k	750	4.24840593338013	2.61995816230774	hft
en_ga	ga	ga_hft_1.5k	1500	10.6189963817596	2.68190145492554	hft
en_ga	ga	ga_hft_3.0k	3000	27.3754997253418	2.93318676948547	hft
en_ga	ga	ga_hft_4.0k	4000	38.8452787399292	2.97122669219971	hft
en_ga	ga	ga_hft_6.0k	6000	63.4953863620758	3.00284337997437	hft
en_ga	ga	ga_hft_8.0k	8000	89.9870848655701	3.14497137069702	hft
