	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
2	en_hi	en	bpe	500	157	33.6801
5	en_hi	en	unigram	500	137	33.83125
33	en_hi	hi	hft	500	4	44.6834
32	en_hi	hi	unigram	500	60	36.6197
24	en_hi	hi	bpe	500	58	36.80475
15	en_hi	en	hft	500	1	39.5143
20	en_hi	en	hft	750	1	33.5972
37	en_hi	hi	unigram	750	76	32.79265
23	en_hi	hi	hft	750	6	39.25785
14	en_hi	en	unigram	750	75	30.8275
38	en_hi	hi	bpe	1000	64	30.7176
3	en_hi	en	bpe	1000	88	28.7373
34	en_hi	hi	unigram	1500	39	27.73525
29	en_hi	hi	hft	1500	27	33.225
0	en_hi	en	unigram	1500	31	26.41665
9	en_hi	en	hft	1500	2	27.51345
12	en_hi	en	bpe	2000	29	24.87855
39	en_hi	hi	bpe	2000	24	26.2745
10	en_hi	en	hft	3000	20	22.85475
31	en_hi	hi	unigram	3000	16	24.0866
35	en_hi	hi	hft	3000	30	29.20075
6	en_hi	en	unigram	3000	12	22.90195
40	en_hi	hi	unigram	4000	10	22.9624
1	en_hi	en	bpe	4000	9	21.6925
26	en_hi	hi	hft	4000	20	27.7927
7	en_hi	en	hft	4000	20	21.4373
30	en_hi	hi	bpe	4000	7	22.80655
8	en_hi	en	unigram	4000	8	21.6694
19	en_hi	en	unigram	6000	5	20.23475
25	en_hi	hi	unigram	6000	5	21.6633
27	en_hi	hi	hft	6000	10	26.26285
17	en_hi	en	hft	6000	11	19.6055
36	en_hi	hi	hft	8000	6	25.4292
41	en_hi	hi	bpe	8000	3	20.26845
22	en_hi	hi	unigram	8000	3	20.9508
18	en_hi	en	unigram	8000	3	19.37255
16	en_hi	en	hft	8000	7	18.5767
13	en_hi	en	bpe	8000	4	19.2102
