dataset	lang	tokenizer	vocab_size	train	token	model_type
en_lt	en	en_bpe_0.5k	500	0.609650135040283	2.31897640228271	bpe
en_lt	en	en_bpe_1.0k	1000	0.605607032775879	2.16650772094727	bpe
en_lt	en	en_bpe_2.0k	2000	0.56992506980896	2.02733850479126	bpe
en_lt	en	en_bpe_4.0k	4000	0.655804872512817	1.93525838851929	bpe
en_lt	en	en_bpe_8.0k	8000	1.01173686981201	3.15893268585205	bpe
en_lt	en	en_bpe_16.0k	16000	1.61294031143188	2.59993648529053	bpe
en_lt	en	en_bpe_32.0k	32000	2.93318700790405	3.19803833961487	bpe
en_lt	lt	lt_bpe_0.5k	500	1.15823125839233	2.20292592048645	bpe
en_lt	lt	lt_bpe_1.0k	1000	1.08395028114319	2.74325203895569	bpe
en_lt	lt	lt_bpe_2.0k	2000	1.46677923202515	2.37286806106567	bpe
en_lt	lt	lt_bpe_4.0k	4000	1.86430597305298	2.5126256942749	bpe
en_lt	lt	lt_bpe_8.0k	8000	2.67286038398743	2.769451379776	bpe
en_lt	lt	lt_bpe_16.0k	16000	4.7545313835144	3.05264925956726	bpe
en_lt	lt	lt_bpe_32.0k	32000	10.0995552539825	3.06501841545105	bpe
en_lt	en	en_unigram_0.5k	500	2.00038409233093	1.16181564331055	unigram
en_lt	en	en_unigram_0.75k	750	1.3248028755188	0.896512031555176	unigram
en_lt	en	en_unigram_1.5k	1500	1.50696182250977	0.909631252288818	unigram
en_lt	en	en_unigram_3.0k	3000	1.15767335891724	1.61108183860779	unigram
en_lt	en	en_unigram_4.0k	4000	1.28624892234802	1.49360466003418	unigram
en_lt	en	en_unigram_6.0k	6000	1.39368486404419	1.45154762268066	unigram
en_lt	en	en_unigram_8.0k	8000	1.21768665313721	1.44903707504272	unigram
en_lt	lt	lt_unigram_0.5k	500	3.22255039215088	1.64462327957153	unigram
en_lt	lt	lt_unigram_0.75k	750	3.31348824501038	1.73793935775757	unigram
en_lt	lt	lt_unigram_1.5k	1500	2.97882342338562	1.53671503067017	unigram
en_lt	lt	lt_unigram_3.0k	3000	2.82990956306458	1.44624042510986	unigram
en_lt	lt	lt_unigram_4.0k	4000	2.79622101783752	1.61128449440002	unigram
en_lt	lt	lt_unigram_6.0k	6000	2.54570984840393	1.48701548576355	unigram
en_lt	lt	lt_unigram_8.0k	8000	2.21107006072998	1.11073350906372	unigram
en_lt	en	en_hft_0.5k	500	3.62108111381531	7.10263204574585	hft
en_lt	en	en_hft_0.75k	750	6.92783808708191	8.82951235771179	hft
en_lt	en	en_hft_1.5k	1500	16.0226340293884	8.98616743087769	hft
en_lt	en	en_hft_3.0k	3000	38.4731395244598	9.71578335762024	hft
en_lt	en	en_hft_4.0k	4000	54.6601347923279	9.9047794342041	hft
en_lt	en	en_hft_6.0k	6000	88.7796266078949	10.0307998657227	hft
en_lt	en	en_hft_8.0k	8000	129.278228759766	10.1256575584412	hft
en_lt	lt	lt_hft_0.5k	500	9.60343098640442	7.1815767288208	hft
en_lt	lt	lt_hft_0.75k	750	15.2044425010681	7.55211663246155	hft
en_lt	lt	lt_hft_1.5k	1500	35.5831997394562	8.20214700698853	hft
en_lt	lt	lt_hft_3.0k	3000	79.8453724384308	9.1058714389801	hft
en_lt	lt	lt_hft_4.0k	4000	108.360712528229	8.30071043968201	hft
en_lt	lt	lt_hft_6.0k	6000	163.433126926422	8.75858616828918	hft
en_lt	lt	lt_hft_8.0k	8000	223.963407754898	8.98685479164124	hft
