	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
	en_mr	en	bpe	500	107	43.8904600391726
37	en_mr	mr	bpe	500	147	47.6995652797019
29	en_mr	mr	unigram	500	208	46.8708259685664
5	en_mr	en	unigram	500	2	43.0603831271199
40	en_mr	mr	hft	500	20	59.6317775760761
15	en_mr	en	hft	500	2	43.0312680949624
20	en_mr	en	hft	750	3	41.5687670185831
23	en_mr	mr	unigram	750	140	40.5681459895858
14	en_mr	en	unigram	750	8	38.2373763913438
41	en_mr	mr	hft	750	40	53.1285530024363
39	en_mr	mr	bpe	1000	73	37.9454927626236
3	en_mr	en	bpe	1000	50	36.0089332632685
0	en_mr	en	unigram	1500	36	31.5562031242536
36	en_mr	mr	hft	1500	124	44.0301915635599
31	en_mr	mr	unigram	1500	55	32.4090670233602
9	en_mr	en	hft	1500	106	32.3628242487938
12	en_mr	en	bpe	2000	14	30.0454306597239
30	en_mr	mr	bpe	2000	18	30.8813834615201
34	en_mr	mr	hft	3000	43	38.0466249462571
33	en_mr	mr	unigram	3000	21	26.8606984187646
10	en_mr	en	hft	3000	34	26.3528877848373
6	en_mr	en	unigram	3000	13	26.9404289877227
22	en_mr	mr	unigram	4000	14	25.2108632303062
1	en_mr	en	bpe	4000	5	25.7803945922706
35	en_mr	mr	bpe	4000	8	25.6647398843931
28	en_mr	mr	hft	4000	27	36.1971528209048
8	en_mr	en	unigram	4000	9	25.6012516122868
7	en_mr	en	hft	4000	20	24.6299622605455
19	en_mr	en	unigram	6000	5	24.1582190799217
26	en_mr	mr	hft	6000	14	34.1627573687479
17	en_mr	en	hft	6000	10	22.7877036258539
32	en_mr	mr	unigram	6000	7	23.3724263125209
16	en_mr	en	hft	8000	6	21.7891845411551
13	en_mr	en	bpe	8000	3	23.0283762480294
25	en_mr	mr	hft	8000	9	32.919266230354
27	en_mr	mr	bpe	8000	4	21.9974681125496
24	en_mr	mr	unigram	8000	4	22.3597191038074
18	en_mr	en	unigram	8000	3	23.3954043854201
