	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
18	fi	bpe	3000.0	6	30.126356408463472	147.68979478367768
12	fi	bpe	500.0	56	45.465723978970814	1725.7122323870603
5	fi	bpe	1500.0	19	34.7772252868205	377.066017274349
6	fi	bpe	6000.0	3	26.50736798487556	60.563935190993064
10	fi	bpe	750.0	31	40.78771398233756	978.4782256920985
22	fi	bpe	8000.0	2	25.279879833216793	42.03766168862404
25	fi	bpe	4000.0	5	28.458705617279154	101.61154399871799
23	fi	bpe_hft_pretok	750.0	121	64.19024680806982	823.0083826784615
13	fi	bpe_hft_pretok	4000.0	32	54.26990909797219	82.35828405536634
24	fi	bpe_hft_pretok	1500.0	86	59.31235594229923	316.8144075616158
17	fi	bpe_hft_pretok	8000.0	13	51.69818454924507	31.673912340731153
31	fi	bpe_hft_pretok	500.0	113	67.70758552819	1441.6680341142178
32	fi	bpe_hft_pretok	6000.0	17	52.66956724419237	47.19716601926172
8	fi	bpe_hft_pretok	3000.0	47	55.55574547432212	122.12277533641863
29	fi	hft	4000.0	44	25.30065004014192	95.4248662547671
30	fi	hft	6000.0	26	23.451246989355916	55.48627715394974
28	fi	hft	500.0	164	41.95276202315282	1538.2791419320022
34	fi	hft	8000.0	17	22.263097920389505	36.94188094236067
16	fi	hft	750.0	322	37.857638619117914	944.4702428251514
33	fi	hft	1500.0	180	31.831093155155	389.7511837432272
9	fi	hft	3000.0	69	26.952477145002977	145.46847212429557
3	fi	unigram	750.0	212	38.885867453966284	772.7989987882158
4	fi	unigram	8000.0	8	24.411182762282134	27.02352959647121
27	fi	unigram	1500.0	81	33.0945277497216	277.87748986165593
0	fi	unigram	6000.0	12	25.484551834874264	40.13906725499129
14	fi	unigram	4000.0	21	27.260249138891048	70.27100467193482
21	fi	unigram	3000.0	32	28.757024836195065	104.17104936005967
19	fi	unigram	500.0	388	43.45370730065004	1420.9489823341814
15	fi	unigram_hft_pretok	1500.0	69	61.54313314168803	238.94016326119123
7	fi	unigram_hft_pretok	500.0	288	69.1118017248077	1210.861620740316
20	fi	unigram_hft_pretok	8000.0	7	55.403102582031956	22.63769257996222
2	fi	unigram_hft_pretok	3000.0	27	58.341387615569886	89.95137968016796
1	fi	unigram_hft_pretok	4000.0	18	57.27172195892575	60.60821193750284
11	fi	unigram_hft_pretok	6000.0	10	56.06888871623546	34.224378824948275
26	fi	unigram_hft_pretok	750.0	167	65.87071711599721	660.3200103299629
