dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
en_ga	ga	unigram	500	75	42.835798816568
en_ga	en	unigram	500	66	38.6881163708087
en_ga	ga	unigram	750	40	38.2980769230769
en_ga	en	unigram	750	37	34.213634122288
en_ga	en	unigram	1500	14	28.1860207100592
en_ga	ga	unigram	1500	16	32.1063856015779
en_ga	en	unigram	3000	5	24.2119082840237
en_ga	ga	unigram	3000	6	27.7954881656805
en_ga	en	unigram	4000	3	23.0252712031558
en_ga	ga	unigram	4000	4	26.5310650887574
en_ga	ga	unigram	6000	2	25.1151380670611
en_ga	en	unigram	6000	2	21.9002712031558
en_ga	ga	unigram	8000	1	24.5220660749507
en_ga	en	unigram	8000	1	21.4587031558185
en_mr	mr	unigram	500	208	46.8708259685664
en_mr	en	unigram	500	2	43.0603831271199
en_mr	mr	unigram	750	140	40.5681459895858
en_mr	en	unigram	750	8	38.2373763913438
en_mr	en	unigram	1500	36	31.5562031242536
en_mr	mr	unigram	1500	55	32.4090670233602
en_mr	mr	unigram	3000	21	26.8606984187646
en_mr	en	unigram	3000	13	26.9404289877227
en_mr	mr	unigram	4000	14	25.2108632303062
en_mr	en	unigram	4000	9	25.6012516122868
en_mr	en	unigram	6000	5	24.1582190799217
en_mr	mr	unigram	6000	7	23.3724263125209
en_mr	mr	unigram	8000	4	22.3597191038074
en_mr	en	unigram	8000	3	23.3954043854201
en_ga	ga	hft	500	8	48.28266765286
en_ga	en	hft	500	8	42.6010848126233
en_ga	en	hft	750	26	36.3592209072978
en_ga	ga	hft	750	63	41.1743096646943
en_ga	ga	hft	1500	42	32.4882889546351
en_ga	en	hft	1500	37	28.5788954635108
en_ga	en	hft	3000	11	23.4130917159763
en_ga	ga	hft	3000	13	26.7949950690335
en_ga	ga	hft	4000	8	25.1804733727811
en_ga	en	hft	4000	7	21.8979289940828
en_ga	en	hft	6000	3	20.3406065088757
en_ga	ga	hft	6000	4	23.2839003944773
en_ga	en	hft	8000	2	19.3693293885602
en_ga	ga	hft	8000	2	22.2618343195266
en_mr	mr	hft	500	20	59.6317775760761
en_mr	en	hft	500	2	43.0312680949624
en_mr	en	hft	750	3	41.5687670185831
en_mr	mr	hft	750	40	53.1285530024363
en_mr	mr	hft	1500	124	44.0301915635599
en_mr	en	hft	1500	106	32.3628242487938
en_mr	mr	hft	3000	43	38.0466249462571
en_mr	en	hft	3000	34	26.3528877848373
en_mr	mr	hft	4000	27	36.1971528209048
en_mr	en	hft	4000	20	24.6299622605455
en_mr	mr	hft	6000	14	34.1627573687479
en_mr	en	hft	6000	10	22.7877036258539
en_mr	en	hft	8000	6	21.7891845411551
en_mr	mr	hft	8000	9	32.919266230354
en_ga	en	bpe	500	30	39.5477071005917
en_ga	ga	bpe	500	65	43.7622041420118
en_ga	en	bpe	1000	13	32.1580374753452
en_ga	ga	bpe	1000	19	35.7681213017751
en_ga	ga	bpe	2000	7	30.0181213017752
en_ga	en	bpe	2000	5	26.710798816568
en_ga	en	bpe	4000	2	22.8738905325444
en_ga	ga	bpe	4000	3	25.9065581854043
en_ga	en	bpe	8000	1	20.4605522682446
en_ga	ga	bpe	8000	1	23.1634615384615
en_ga	ga	bpe	16000	1	21.4964250493097
en_ga	en	bpe	16000	1	19.0729783037475
en_ga	en	bpe	32000	1	18.7729289940828
en_ga	ga	bpe	32000	1	20.8265532544379
en_mr	mr	bpe	500	147	47.6995652797019
en_mr	en	bpe	500	107	43.8904600391726
en_mr	mr	bpe	1000	73	37.9454927626236
en_mr	en	bpe	1000	50	36.0089332632685
en_mr	en	bpe	2000	14	30.0454306597239
en_mr	mr	bpe	2000	18	30.8813834615201
en_mr	en	bpe	4000	5	25.7803945922706
en_mr	mr	bpe	4000	8	25.6647398843931
en_mr	en	bpe	8000	3	23.0283762480294
en_mr	mr	bpe	8000	4	21.9974681125496
en_mr	en	bpe	16000	1	21.4249749199828
en_mr	mr	bpe	16000	2	19.5081928056179
en_mr	mr	bpe	32000	1	17.7196292934601
en_mr	en	bpe	32000	1	20.5736874791
en_hi	en	bpe	500	157	33.6801
en_hi	en	unigram	500	137	33.83125
en_hi	hi	hft	500	4	44.6834
en_hi	hi	unigram	500	60	36.6197
en_hi	hi	bpe	500	58	36.80475
en_hi	en	hft	500	1	39.5143
en_hi	en	hft	750	1	33.5972
