	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
10	ga	bpe	4000.0	2	27.076060157790927	17.646421699506163
1	ga	bpe	500.0	2	46.57038954635109	309.0909677145645
2	ga	bpe	750.0	2	40.97620808678501	176.48715810988892
8	ga	bpe	8000.0	1	23.941568047337277	7.0732834663197055
9	ga	bpe	1500.0	2	33.856262327416175	68.40226878760069
17	ga	bpe	3000.0	2	28.69662228796844	26.110460565505186
13	ga	bpe	6000.0	1	25.10145463510848	10.37154062508553
3	ga	hft	750.0	10	40.969551282051285	200.55354884617145
5	ga	hft	1500.0	35	32.16198224852071	74.5637678543622
6	ga	hft	500.0	4	47.97731755424063	355.5542597738035
7	ga	hft	3000.0	13	26.306952662721894	25.355019861948133
11	ga	hft	6000.0	4	22.692061143984223	8.465242057415246
12	ga	hft	8000.0	2	21.577909270216963	5.275320548225363
15	ga	hft	4000.0	8	24.638560157790927	16.19503207194727
18	ga	unigram	500.0	75	42.835798816568044	265.3508956967612
16	ga	unigram	6000.0	2	25.115138067061142	6.802233301614106
0	ga	unigram	4000.0	4	26.531065088757398	12.368375379461686
19	ga	unigram	3000.0	6	27.795488165680474	18.866892763015915
4	ga	unigram	8000.0	1	24.52206607495069	4.449007262204272
14	ga	unigram	750.0	40	38.29807692307692	140.9870210002165
20	ga	unigram	1500.0	16	32.10638560157791	51.470408689851354
