	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
34	hi	bpe	1500.0	4	29.552	150.83973386225063
19	hi	bpe	750.0	5	34.95315	375.72231350909465
15	hi	bpe	6000.0	1	22.08945	24.22584627032098
8	hi	bpe	4000.0	2	23.84485	41.17890791404929
28	hi	bpe	3000.0	2	25.30325	59.81423194571384
32	hi	bpe	8000.0	1	21.03515	16.815648031816973
2	hi	bpe	500.0	3	39.9487	620.0287170930663
24	hi	bpe_hft_pretok	8000.0	3	48.30385	13.770677406831375
29	hi	bpe_hft_pretok	6000.0	4	49.1016	20.741792708462704
33	hi	bpe_hft_pretok	750.0	8	59.9809	351.4166806116676
11	hi	bpe_hft_pretok	1500.0	14	55.26465	138.87525051788563
26	hi	bpe_hft_pretok	3000.0	7	51.6939	54.12306762675601
16	hi	bpe_hft_pretok	4000.0	5	50.5027	36.41755155232592
25	hi	bpe_hft_pretok	500.0	5	63.7877	589.7489160425699
1	hi	hft	750.0	6	36.21955	431.7084813889335
18	hi	hft	3000.0	30	25.0215	64.92726600230328
5	hi	hft	6000.0	11	21.7069	24.469742467233658
20	hi	hft	8000.0	7	20.65345	15.91244361076451
6	hi	hft	1500.0	20	29.8836	174.31501391768072
4	hi	hft	4000.0	20	23.53645	43.577455387800704
13	hi	hft	500.0	4	41.9139	697.5281233386496
31	hi	unigram	4000.0	10	22.9624	33.84217406575954
0	hi	unigram	8000.0	3	20.9508	12.695565771960041
14	hi	unigram	1500.0	39	27.73525	129.51495177182574
10	hi	unigram	500.0	60	36.6197	618.4420306733077
9	hi	unigram	3000.0	16	24.0866	50.39166153762492
3	hi	unigram	6000.0	5	21.6633	19.16952274516588
22	hi	unigram	750.0	76	32.79265	345.66211883430344
23	hi	unigram_hft_pretok	750.0	6	60.10835	302.5587278253442
21	hi	unigram_hft_pretok	1500.0	30	55.45105	118.90071588618962
12	hi	unigram_hft_pretok	4000.0	10	51.35885	31.03470382024666
27	hi	unigram_hft_pretok	3000.0	15	52.265	46.298118855645406
30	hi	unigram_hft_pretok	500.0	5	63.737	540.3680080266599
7	hi	unigram_hft_pretok	6000.0	5	50.3997	17.134927874264367
17	hi	unigram_hft_pretok	8000.0	3	49.9113	11.08212528868208
