	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
32	it	bpe	750.0	19	37.684399003529165	878.4453302190176
3	it	bpe	6000.0	3	25.544218393190782	47.097310509194436
31	it	bpe	8000.0	2	24.62819182063525	32.24343349930495
7	it	bpe	4000.0	4	27.10641997093627	81.83650394749522
29	it	bpe	500.0	21	41.813343367241025	1609.6543808356125
33	it	bpe	1500.0	10	32.33438862362466	324.38187621702957
12	it	bpe	3000.0	6	28.42534253684866	121.90014620606901
23	it	bpe_hft_pretok	3000.0	18	62.11814926302678	92.83184240271274
1	it	bpe_hft_pretok	1500.0	33	65.07753788665144	251.79517495414356
5	it	bpe_hft_pretok	500.0	19	72.08412912601204	1258.1543117856982
20	it	bpe_hft_pretok	8000.0	6	59.329224621133484	22.56287716537345
10	it	bpe_hft_pretok	4000.0	13	61.131046294374094	61.76703312133876
13	it	bpe_hft_pretok	750.0	44	69.0897861739672	687.0164736812665
26	it	bpe_hft_pretok	6000.0	8	59.98359975088229	34.463254008092925
25	it	hft	8000.0	10	22.258796969067884	24.649155089458393
16	it	hft	6000.0	16	23.07208843678638	38.459460983895525
0	it	hft	4000.0	31	24.536199916960765	71.57548206939529
21	it	hft	500.0	59	41.786770811708536	1831.6651019457483
9	it	hft	3000.0	49	25.830158812538926	111.28239769917224
15	it	hft	1500.0	137	29.89967822296035	327.0606438427721
28	it	hft	750.0	167	35.5647965538717	895.0093336107066
24	it	unigram	3000.0	25	27.785135976749014	85.20926368721399
30	it	unigram	500.0	220	40.40650301017231	1288.5923656842635
17	it	unigram	8000.0	6	24.389376167739258	20.952691202870724
18	it	unigram	750.0	177	36.373780361220675	693.3905078370905
8	it	unigram	6000.0	9	25.171372223375545	31.775522585354786
2	it	unigram	4000.0	16	26.575565704795515	56.39784239980786
34	it	unigram	1500.0	63	31.33080755657048	238.42439358982352
19	it	unigram_hft_pretok	500.0	190	75.64345028025743	1054.9011538323718
14	it	unigram_hft_pretok	3000.0	21	68.17679572347934	72.09112243126019
27	it	unigram_hft_pretok	8000.0	4	66.48705106913016	16.570761575536107
11	it	unigram_hft_pretok	6000.0	7	66.84866099231887	25.83497758853209
6	it	unigram_hft_pretok	750.0	129	73.3415767074943	554.5064065634995
4	it	unigram_hft_pretok	4000.0	13	67.54481523769981	47.29760725430667
22	it	unigram_hft_pretok	1500.0	54	70.23829665767074	198.35688552443136
