	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
41	it_ar	ar	bpe	1000.0	96	29.540608321008296
17	it_ar	it	bpe	500.0	55	40.581248702511935
16	it_ar	it	bpe	1000.0	52	33.988711853850944
24	it_ar	ar	bpe	16000.0	5	18.324448588515207
26	it_ar	ar	bpe	32000.0	2	16.88097228474053
28	it_ar	ar	bpe	500.0	43	34.331972220435986
29	it_ar	ar	bpe	4000.0	26	22.645328274709023
19	it_ar	it	bpe	8000.0	5	23.860286485364334
30	it_ar	ar	bpe	8000.0	12	20.225934023535466
5	it_ar	it	bpe	16000.0	2	22.381331741747974
4	it_ar	it	bpe	4000.0	12	26.17132032385302
3	it_ar	it	bpe	2000.0	29	29.488971351463565
2	it_ar	it	bpe	32000.0	1	21.515284409383433
22	it_ar	ar	bpe	2000.0	63	25.70272008230982
31	it_ar	ar	hft	6000.0	19	21.374638286926885
36	it_ar	ar	hft	4000.0	33	23.022538743489164
37	it_ar	ar	hft	8000.0	13	20.3246415021542
25	it_ar	ar	hft	1500.0	117	28.00096456819497
39	it_ar	ar	hft	3000.0	49	24.287248408462478
23	it_ar	ar	hft	500.0	42	36.58288856022121
35	it_ar	ar	hft	750.0	302	32.89801298951836
0	it_ar	it	hft	4000.0	33	24.53534357483911
9	it_ar	it	hft	6000.0	17	23.071102345858417
15	it_ar	it	hft	750.0	443	35.561734482042766
14	it_ar	it	hft	8000.0	11	22.25768112933361
12	it_ar	it	hft	500.0	752	41.78824994810048
7	it_ar	it	hft	3000.0	52	25.836620303093213
8	it_ar	it	hft	1500.0	147	29.89249013909072
1	it_ar	it	unigram	4000.0	16	26.575565704795515
38	it_ar	ar	unigram	8000.0	8	21.23278245771976
6	it_ar	it	unigram	6000.0	9	25.171372223375545
34	it_ar	ar	unigram	6000.0	11	22.15111568387885
33	it_ar	ar	unigram	500.0	184	35.18140312520095
40	it_ar	ar	unigram	750.0	139	32.2967011767732
21	it_ar	ar	unigram	1500.0	60	28.036942961867403
10	it_ar	it	unigram	8000.0	6	24.389376167739258
11	it_ar	it	unigram	750.0	177	36.373780361220675
27	it_ar	ar	unigram	4000.0	18	23.629766574496816
13	it_ar	it	unigram	3000.0	25	27.785135976749014
18	it_ar	it	unigram	500.0	220	40.40650301017231
32	it_ar	ar	unigram	3000.0	25	24.781814674297472
20	it_ar	it	unigram	1500.0	63	31.33080755657048
