	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
19	it_chr	it	bpe	8000.0	5	23.860286485364334
39	it_chr	chr	bpe	500.0	48	41.42566293829333
2	it_chr	it	bpe	32000.0	1	21.515284409383433
3	it_chr	it	bpe	2000.0	29	29.488971351463565
4	it_chr	it	bpe	4000.0	12	26.17132032385302
5	it_chr	it	bpe	16000.0	2	22.381331741747974
17	it_chr	it	bpe	500.0	55	40.581248702511935
35	it_chr	chr	bpe	16000.0	1	22.931758200326755
34	it_chr	chr	bpe	1000.0	20	35.53839386703532
21	it_chr	chr	bpe	2000.0	13	31.119140379540028
16	it_chr	it	bpe	1000.0	52	33.988711853850944
28	it_chr	chr	bpe	32000.0	1	20.92095010682418
27	it_chr	chr	bpe	8000.0	3	25.211009174311926
26	it_chr	chr	bpe	4000.0	5	27.82945833856981
22	it_chr	chr	hft	500.0	176	43.42063591805957
0	it_chr	it	hft	4000.0	33	24.53534357483911
30	it_chr	chr	hft	1500.0	34	32.95752167902476
36	it_chr	chr	hft	750.0	84	38.28490637174814
24	it_chr	chr	hft	8000.0	4	24.34246575342466
31	it_chr	chr	hft	3000.0	13	28.735704411210254
41	it_chr	chr	hft	4000.0	9	27.28214151061958
9	it_chr	it	hft	6000.0	17	23.071102345858417
15	it_chr	it	hft	750.0	443	35.561734482042766
14	it_chr	it	hft	8000.0	11	22.25768112933361
12	it_chr	it	hft	500.0	752	41.78824994810048
7	it_chr	it	hft	3000.0	52	25.836620303093213
8	it_chr	it	hft	1500.0	147	29.89249013909072
40	it_chr	chr	hft	6000.0	5	25.51841146160613
1	it_chr	it	unigram	4000.0	16	26.575565704795515
38	it_chr	chr	unigram	3000.0	6	29.615181601105945
37	it_chr	chr	unigram	500.0	74	41.18222948347367
6	it_chr	it	unigram	6000.0	9	25.171372223375545
33	it_chr	chr	unigram	750.0	39	37.69573960035189
18	it_chr	it	unigram	500.0	220	40.40650301017231
10	it_chr	it	unigram	8000.0	6	24.389376167739258
29	it_chr	chr	unigram	4000.0	4	28.415985924343346
11	it_chr	it	unigram	750.0	177	36.373780361220675
13	it_chr	it	unigram	3000.0	25	27.785135976749014
25	it_chr	chr	unigram	6000.0	2	26.821792132713334
23	it_chr	chr	unigram	1500.0	14	33.1765740857107
32	it_chr	chr	unigram	8000.0	2	25.753298982028404
20	it_chr	it	unigram	1500.0	63	31.33080755657048
