	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
15	ja	bpe	3000.0	39	28.868433750442307	116.52674612221814
28	ja	bpe	8000.0	15	24.38910155370412	31.435973765539075
22	ja	bpe	4000.0	28	27.359507189500434	79.1119537218559
8	ja	bpe	750.0	140	44.50114195644482	558.2670979891375
16	ja	bpe	1500.0	80	33.64956412648374	293.5335352299378
11	ja	bpe	6000.0	20	25.530414642776723	45.99332214801899
1	ja	bpe_hft_pretok	1500.0	65	41.32563450960208	286.2016874072521
2	ja	bpe_hft_pretok	4000.0	27	35.451024544021614	75.76653813428409
5	ja	bpe_hft_pretok	8000.0	14	32.61025509055232	30.309295633696202
19	ja	bpe_hft_pretok	6000.0	21	33.70717663331939	44.17738366041273
17	ja	bpe_hft_pretok	3000.0	38	36.88329526811851	111.8021020832811
13	ja	bpe_hft_pretok	750.0	156	50.2916653263422	597.4436621962979
18	ja	hft	500.0	1	51.78399330910027	126.25355727391148
14	ja	hft	750.0	1	51.784057644674625	111.44116337661619
27	ja	hft	4000.0	2	31.671695564062148	88.55290074811757
10	ja	hft	6000.0	3	28.36127641779522	56.37427581496752
9	ja	hft	3000.0	2	34.916749766783546	111.88483778599759
7	ja	hft	8000.0	5	26.60829285553447	39.98389506231669
6	ja	hft	1500.0	1	51.784057644674625	111.44116337661619
29	ja	unigram	750.0	131	45.57477402129508	529.5936311805956
20	ja	unigram	4000.0	24	27.51362305786985	69.30316594265373
21	ja	unigram	3000.0	38	29.053591533438414	101.77664815267983
4	ja	unigram	6000.0	13	25.687779457651107	39.94020457435133
26	ja	unigram	1500.0	109	33.861195998327275	259.0181782010054
25	ja	unigram	8000.0	8	24.554669154308876	26.924582123275872
0	ja	unigram_hft_pretok	8000.0	8	32.70524656608872	26.212329730948216
23	ja	unigram_hft_pretok	3000.0	34	36.878084086595685	98.08677303698836
12	ja	unigram_hft_pretok	4000.0	22	35.45839096728536	66.70271515262581
3	ja	unigram_hft_pretok	1500.0	88	41.319715636761345	253.0765838126317
24	ja	unigram_hft_pretok	750.0	161	49.80232894779168	600.4888297344007
30	ja	unigram_hft_pretok	6000.0	12	33.758773763952775	38.80309854947297
