	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
13	ja_my	ja	bpe	4000.0	31	27.3844693923505
25	ja_my	my	bpe	32000.0	3	16.72804578375582
3	ja_my	ja	bpe	16000.0	6	21.93045324412134
30	ja_my	my	bpe	4000.0	18	25.444807294361098
5	ja_my	ja	bpe	2000.0	57	31.473188149387205
22	ja_my	my	bpe	2000.0	55	30.66703310915675
7	ja_my	ja	bpe	1000.0	122	38.393540708334676
21	ja_my	my	bpe	8000.0	10	21.60980341438179
10	ja_my	ja	bpe	32000.0	3	19.82835268761862
36	ja_my	my	bpe	500.0	375	46.903000517330575
33	ja_my	my	bpe	1000.0	118	37.61122607346094
17	ja_my	ja	bpe	8000.0	15	24.373725351433073
34	ja_my	my	bpe	16000.0	6	18.859253750646662
29	ja_my	my	hft	500.0	820	66.72995344024832
31	ja_my	my	hft	3000.0	56	49.47584712881531
32	ja_my	my	hft	1500.0	165	54.317996637351264
19	ja_my	my	hft	4000.0	36	47.923661407139164
26	ja_my	my	hft	6000.0	18	46.25872995344025
37	ja_my	my	hft	750.0	481	61.382371960682875
9	ja_my	ja	hft	500.0	1	51.78399330910027
8	ja_my	ja	hft	750.0	1	51.78399330910027
6	ja_my	ja	hft	6000.0	3	28.361212082220863
4	ja_my	ja	hft	3000.0	2	34.91668543120919
2	ja_my	ja	hft	8000.0	4	26.60822851996011
1	ja_my	ja	hft	1500.0	1	51.78399330910027
16	ja_my	ja	hft	4000.0	2	31.671631228487794
28	ja_my	my	hft	8000.0	12	45.33623254009312
35	ja_my	my	unigram	8000.0	9	21.918164769787893
0	ja_my	ja	unigram	6000.0	13	25.687779457651107
24	ja_my	my	unigram	1500.0	89	33.16182747025349
23	ja_my	my	unigram	4000.0	26	25.625
20	ja_my	my	unigram	750.0	232	40.933911019141235
38	ja_my	my	unigram	6000.0	14	23.270757889291257
18	ja_my	ja	unigram	750.0	131	45.57477402129508
15	ja_my	ja	unigram	1500.0	109	33.861195998327275
14	ja_my	ja	unigram	8000.0	8	24.554669154308876
12	ja_my	ja	unigram	3000.0	38	29.053591533438414
11	ja_my	ja	unigram	4000.0	24	27.51362305786985
27	ja_my	my	unigram	3000.0	39	27.48137609932747
39	ja_my	my	unigram	500.0	413	46.656912829798245
