	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
16	jak	bpe	500.0	11	43.06251498920777	444.36330931626946
2	jak	bpe	1500.0	5	35.05236229914462	87.16986181618368
23	jak	bpe	8000.0	1	30.449196578463507	7.481653718537382
6	jak	bpe	4000.0	2	31.70301383004237	20.401076430940563
31	jak	bpe	3000.0	2	32.458469901670796	31.083366732767896
15	jak	bpe	750.0	8	39.32736429770565	238.29036285673925
11	jak	bpe	6000.0	1	30.89599488368375	11.34806395962927
24	jak	bpe_hft_pretok	4000.0	3	67.12407066911824	13.773601598651418
22	jak	bpe_hft_pretok	3000.0	4	67.60524422415861	21.790491720432467
18	jak	bpe_hft_pretok	1500.0	10	69.31105603965145	65.03615116545981
17	jak	bpe_hft_pretok	8000.0	1	66.33463905987689	4.677716172415861
12	jak	bpe_hft_pretok	500.0	25	74.7053321608442	364.3416734453452
32	jak	bpe_hft_pretok	750.0	22	72.22839555520025	194.57039845190135
7	jak	bpe_hft_pretok	6000.0	2	66.60612359101447	7.257550207770655
13	jak	hft	3000.0	12	25.527460228635384	27.003812510483254
30	jak	hft	4000.0	7	24.68606603245663	16.93568915790373
29	jak	hft	6000.0	3	23.77024542329523	8.516203280032121
26	jak	hft	8000.0	2	23.26173155328164	5.124859260310017
20	jak	hft	750.0	71	33.819489967223596	255.25033132994298
4	jak	hft	500.0	44	38.77736030058358	471.2151228888071
0	jak	hft	1500.0	37	28.403629386841473	80.75532145572521
5	jak	unigram	4000.0	2	33.83851626828683	15.086496042725404
10	jak	unigram	500.0	35	43.8740906547286	374.6741449562875
3	jak	unigram	8000.0	1	32.76432968262851	5.0919730027446555
1	jak	unigram	6000.0	1	33.1738748101367	7.89186422318915
25	jak	unigram	3000.0	4	34.467903109760975	23.730752684937748
14	jak	unigram	750.0	9	40.709489167799184	200.23920529450928
19	jak	unigram	1500.0	8	36.68326804700616	69.9419405191273
21	jak	unigram_hft_pretok	500.0	81	78.09249340474858	331.2051801072367
8	jak	unigram_hft_pretok	1500.0	12	74.3574226556879	53.9294426658473
27	jak	unigram_hft_pretok	4000.0	1	73.25733471900232	10.504328905485908
28	jak	unigram_hft_pretok	750.0	44	76.32640498840834	169.3323531989832
9	jak	unigram_hft_pretok	3000.0	3	73.42073706931009	16.978978950732234
