	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
8	lt	bpe	3000.0	3	39.90885	99.53612986002945
25	lt	bpe	500.0	2	66.6842	1121.2581227268051
31	lt	bpe	4000.0	2	37.1647	68.67214471223744
6	lt	bpe	750.0	4	58.5244	649.3006833339482
5	lt	bpe	1500.0	6	47.803	255.5839713014756
19	lt	bpe	8000.0	1	31.85945	28.38195977456194
1	lt	bpe	6000.0	1	33.86285	40.55143158229887
3	lt	bpe_hft_pretok	1500.0	17	77.18705	238.7030025353856
7	lt	bpe_hft_pretok	500.0	3	92.6533	1065.9787325920329
15	lt	bpe_hft_pretok	3000.0	12	70.53695	92.99043771802917
2	lt	bpe_hft_pretok	4000.0	12	68.358	62.33975388158352
27	lt	bpe_hft_pretok	8000.0	6	64.3345	23.411401136883644
12	lt	bpe_hft_pretok	6000.0	8	65.7895	35.24703176861072
34	lt	bpe_hft_pretok	750.0	7	86.0778	621.5547439406021
26	lt	hft	3000.0	53	34.5643	106.39778891089621
23	lt	hft	500.0	4	62.9821	1190.1623779022623
32	lt	hft	8000.0	12	27.3736	25.917382603720014
0	lt	hft	1500.0	100	42.7624	286.97592262143064
9	lt	hft	6000.0	19	29.0001	39.29068746445583
14	lt	hft	4000.0	35	32.08125	70.943600357124
10	lt	hft	750.0	9	54.9175	742.8353814390647
17	lt	unigram	6000.0	8	32.8548	29.23139394703376
16	lt	unigram	4000.0	15	35.56465	51.156248461445756
20	lt	unigram	3000.0	24	37.88245	75.45104051968758
30	lt	unigram	8000.0	5	31.30365	19.55572038878183
13	lt	unigram	1500.0	57	45.073	195.81194026605309
29	lt	unigram	750.0	153	54.6585	534.5790142831602
28	lt	unigram	500.0	268	61.48005	966.318647651127
4	lt	unigram_hft_pretok	1500.0	51	81.2377	173.6475869110346
18	lt	unigram_hft_pretok	3000.0	19	76.5266	65.84862417590881
24	lt	unigram_hft_pretok	4000.0	12	75.17475	43.501474182518336
22	lt	unigram_hft_pretok	750.0	10	88.6983	463.8104491547309
21	lt	unigram_hft_pretok	500.0	3	94.75735	831.146665711112
33	lt	unigram_hft_pretok	8000.0	4	72.97805	15.565468173572881
11	lt	unigram_hft_pretok	6000.0	6	73.7382	24.041359279332372
