	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
18	mr	bpe	6000.0	2	24.686237041991113	31.28050902506491
17	mr	bpe	3000.0	3	29.285052309750156	77.6389285359496
5	mr	bpe	8000.0	2	23.170114173792577	21.69141661679462
16	mr	bpe	1500.0	8	35.43949744422682	199.35804426381927
15	mr	bpe	500.0	10	50.34901829646969	859.995098769725
12	mr	bpe	4000.0	3	27.220608608417333	53.092627992478526
13	mr	bpe	750.0	13	43.834997372569624	514.2589668019797
20	mr	hft	750.0	38	44.075001194286536	543.7290949846412
3	mr	hft	8000.0	11	21.580614340992692	21.77115415135937
4	mr	hft	6000.0	16	23.051354320928677	33.09039560455201
6	mr	hft	4000.0	31	25.677972579181198	59.947610782596065
14	mr	hft	1500.0	92	34.53542253857545	225.77562051499925
19	mr	hft	500.0	17	52.63478717813978	944.166562916852
11	mr	hft	3000.0	47	27.901160846510294	90.16151219958999
0	mr	unigram	4000.0	14	25.210863230306217	42.051889016862745
8	mr	unigram	1500.0	55	32.409067023360244	161.99211417940464
7	mr	unigram	500.0	208	46.87082596856638	701.0247509151293
2	mr	unigram	8000.0	4	22.359719103807386	15.321484605616755
1	mr	unigram	750.0	140	40.56814598958582	410.09102363106615
9	mr	unigram	6000.0	7	23.3724263125209	23.373751808081046
10	mr	unigram	3000.0	21	26.86069841876463	63.3060320716536
