	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
16	my	bpe	4000.0	8	26.910113812726333	104.87985242588485
2	my	bpe	8000.0	4	22.688178996378685	42.69919058093742
26	my	bpe	500.0	55	50.04872607346094	1666.9398996966386
20	my	bpe	3000.0	10	29.102690118986033	153.1687333693532
10	my	bpe	750.0	38	43.93071003621314	976.9866772469095
23	my	bpe	1500.0	15	35.53210682876358	386.8926550354162
22	my	bpe	6000.0	6	24.252554319710296	61.810601056379284
18	my	bpe_hft_pretok	500.0	156	104.09661148473874	1459.5549153926418
12	my	bpe_hft_pretok	750.0	119	99.74236937403	803.6415084483556
8	my	bpe_hft_pretok	8000.0	8	88.6735644076565	22.67494744220746
6	my	bpe_hft_pretok	1500.0	48	94.69060398344543	278.3249245441751
5	my	bpe_hft_pretok	6000.0	12	89.29875840662183	34.87916173868882
25	my	bpe_hft_pretok	3000.0	21	91.36982669425763	97.91552146713173
15	my	bpe_hft_pretok	4000.0	17	90.39640455250905	63.79259105247462
19	my	hft	1500.0	162	54.317996637351264	375.38326280156366
27	my	hft	750.0	286	61.382371960682875	987.8133111801392
0	my	hft	4000.0	35	47.923661407139164	85.99872816778668
17	my	hft	3000.0	56	49.47584712881531	133.29891449253302
13	my	hft	500.0	405	66.72995344024832	1617.3345565499853
11	my	hft	8000.0	12	45.33623254009312	30.421311704138652
7	my	hft	6000.0	18	46.25872995344025	46.45578548910111
3	my	unigram	4000.0	26	25.625	78.18128058498016
32	my	unigram	6000.0	14	23.270757889291257	45.549497281306834
1	my	unigram	750.0	232	40.933911019141235	750.1278278469715
4	my	unigram	1500.0	89	33.16182747025349	293.3614795547202
34	my	unigram	500.0	413	46.656912829798245	1311.3312461765447
9	my	unigram	3000.0	39	27.48137609932747	114.55804322111753
24	my	unigram	8000.0	9	21.918164769787893	31.142674431181252
33	my	unigram_hft_pretok	1500.0	62	102.31996896016554	229.95445084298896
28	my	unigram_hft_pretok	3000.0	17	100.09900413864459	76.85284272504134
29	my	unigram_hft_pretok	4000.0	11	99.55603336782204	48.547476367190484
30	my	unigram_hft_pretok	8000.0	3	98.6783173823073	15.770738122708929
31	my	unigram_hft_pretok	500.0	370	109.30280005173306	1305.047983014862
21	my	unigram_hft_pretok	750.0	179	106.0254138644594	685.3393346598582
14	my	unigram_hft_pretok	6000.0	5	98.98425375064666	25.142016418958303
