	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
1	ojb	bpe	1500.0	20	41.80113278791693	85.10317400380838
3	ojb	bpe	8000.0	4	30.72750157331655	8.776559211863802
7	ojb	bpe	6000.0	5	32.1647577092511	12.826442275784453
16	ojb	bpe	3000.0	11	36.31428571428572	32.70573817499653
15	ojb	bpe	4000.0	8	34.455129011957204	22.168429359157205
11	ojb	bpe	750.0	22	49.51151667715544	217.04305416865657
12	ojb	bpe	500.0	16	55.34096916299559	371.40482241772565
0	ojb	hft	500.0	20	55.49540591567023	349.25362636778215
2	ojb	hft	6000.0	7	31.368911264946508	13.222223532052668
4	ojb	hft	1500.0	45	41.31202013845186	88.76849794813398
5	ojb	hft	3000.0	17	35.57293895531781	34.20722815488903
18	ojb	hft	4000.0	11	33.690371302706104	23.07736253287727
17	ojb	hft	750.0	31	49.882693517935806	227.06225809416497
13	ojb	hft	8000.0	5	29.894273127753305	8.919122970467962
10	ojb	unigram	750.0	48	50.38124606670862	178.91429883968402
19	ojb	unigram	1500.0	19	43.394587791063564	65.36181453816724
9	ojb	unigram	4000.0	5	36.3529263687854	16.098797195995093
8	ojb	unigram	6000.0	3	34.05752045311517	9.291730763290396
6	ojb	unigram	8000.0	2	32.50748898678414	6.4181884067835115
14	ojb	unigram	500.0	20	56.074512271869104	319.53050561433116
20	ojb	unigram	3000.0	7	38.14348646947766	24.169197680101107
