	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
38	sv	bpe	500.0	22	44.40057614650583	1503.0476846175611
20	sv	bpe	2000.0	28	30.842228452377892	198.08564543584194
17	sv	bpe	750.0	22	39.55641863216646	837.0190968312355
29	sv	bpe	8000.0	2	26.319452660819465	28.55827526227266
24	sv	bpe	3000.0	4	29.914889786259934	112.0605845927135
8	sv	bpe	1000.0	88	35.42207875716968	559.7912093355218
30	sv	bpe	4000.0	3	28.662156948481186	74.11018048765489
26	sv	bpe	1500.0	9	33.93258571465316	305.2236183932347
1	sv	bpe	32000.0	1	23.581367833534813	3.1395635831314466
35	sv	bpe	6000.0	2	27.17968569150441	42.24568955037955
34	sv	bpe	16000.0	2	24.26955425808277	8.297786671404467
18	sv	bpe_hft_pretok	750.0	66	73.02289153527612	744.2357178817156
15	sv	bpe_hft_pretok	1500.0	41	68.79834872296098	261.5949440153549
33	sv	bpe_hft_pretok	4000.0	14	65.0757992746727	59.294004595529536
11	sv	bpe_hft_pretok	6000.0	7	64.0547081972273	31.93118878404941
10	sv	bpe_hft_pretok	500.0	39	76.41955811620669	1341.1323005505776
31	sv	bpe_hft_pretok	8000.0	5	63.47292883047403	20.606797328488195
13	sv	bpe_hft_pretok	3000.0	20	65.96126443581367	91.57489890212027
6	sv	hft	500.0	171	41.61372463283521	1607.7805394990366
28	sv	hft	6000.0	18	24.66570642249029	39.60946876586687
5	sv	hft	3000.0	54	27.391188044960003	118.68692749710912
21	sv	hft	750.0	352	37.42107564494972	985.5533039850117
22	sv	hft	1500.0	157	31.441652305872065	341.6869278185068
27	sv	hft	4000.0	33	26.09364952802284	74.54337038860174
16	sv	hft	8000.0	11	23.831065613827516	24.787323343881344
36	sv	unigram	8000.0	5	25.939247408626766	19.070984629249764
0	sv	unigram	1500.0	63	32.657321433164434	233.37427712099694
23	sv	unigram	750.0	178	38.01103423441961	673.5964004052524
37	sv	unigram	3000.0	22	29.02723835489596	82.42695445235078
14	sv	unigram	4000.0	14	27.89793976182515	53.720368745425944
7	sv	unigram	6000.0	8	26.63085470305306	29.3848007057726
25	sv	unigram	500.0	224	42.41793770415906	1250.5822553481205
12	sv	unigram_hft_pretok	750.0	151	76.79757709817639	582.1985061284491
9	sv	unigram_hft_pretok	500.0	256	80.1050952956609	1090.7261977281685
32	sv	unigram_hft_pretok	3000.0	20	70.65392628411225	70.43670007459063
4	sv	unigram_hft_pretok	1500.0	51	73.04161629671545	199.76812522423953
3	sv	unigram_hft_pretok	8000.0	3	68.95969546541835	15.183065602961632
2	sv	unigram_hft_pretok	4000.0	13	69.94603770673115	45.477777780861324
19	sv	unigram_hft_pretok	6000.0	6	69.25615370765709	24.24056792161457
