	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
0	syr	bpe	1500.0	8	22.719386472215238	53.34434302531422
1	syr	bpe	8000.0	1	16.744531053557957	6.790475034315006
18	syr	bpe	3000.0	3	19.773070153381948	22.13778146659309
16	syr	bpe	500.0	31	28.874528539099824	229.6530169555745
4	syr	bpe	750.0	28	26.23623334171486	132.61462095385966
11	syr	bpe	6000.0	2	17.485164697007797	9.467538889061384
19	syr	bpe	4000.0	3	18.789791299974855	15.741211055299102
13	syr	hft	6000.0	3	16.76100075433744	7.639354622303874
12	syr	hft	500.0	85	28.610384712094543	214.55456063674805
10	syr	hft	8000.0	2	15.918783002263012	4.985905662970569
8	syr	hft	1500.0	25	22.342846366607997	53.71567193304661
7	syr	hft	3000.0	9	19.194241890872515	20.71678340009969
6	syr	hft	750.0	57	25.932486799094796	127.95658463584968
9	syr	hft	4000.0	6	18.07606235856173	13.576805824612473
5	syr	unigram	500.0	52	29.062861453356803	183.49134549641946
14	syr	unigram	8000.0	2	17.62169977369877	4.322566002123493
15	syr	unigram	3000.0	6	20.114910736736235	16.30969668446581
3	syr	unigram	6000.0	2	18.15489062107116	6.436349514784008
17	syr	unigram	1500.0	14	22.91702288156902	41.048634725902986
2	syr	unigram	750.0	32	26.49849132511944	104.65893925954339
20	syr	unigram	4000.0	4	19.23447322102087	11.068225760839972
