	dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
0	syr_zu	syr	bpe	8000.0	2	15.893764143827005
1	syr_zu	syr	bpe	1000.0	42	23.77495599698265
19	syr_zu	syr	bpe	16000.0	1	14.47032939401559
17	syr_zu	syr	bpe	4000.0	6	17.886220769424188
10	syr_zu	syr	bpe	2000.0	17	20.46970077948202
15	syr_zu	syr	bpe	500.0	107	27.866607995976867
30	syr_zu	zu	hft	4000.0	10	21.139857064321056
28	syr_zu	zu	hft	1500.0	38	26.679604178119845
26	syr_zu	zu	hft	500.0	164	36.15876855415063
25	syr_zu	zu	hft	8000.0	4	18.374821330401318
24	syr_zu	zu	hft	6000.0	5	19.47685541506322
22	syr_zu	zu	hft	3000.0	14	22.493567894447498
33	syr_zu	zu	hft	750.0	100	32.46201209455745
11	syr_zu	syr	hft	500.0	109	28.610384712094543
9	syr_zu	syr	hft	8000.0	3	15.918783002263012
8	syr_zu	syr	hft	4000.0	7	18.07606235856173
7	syr_zu	syr	hft	1500.0	27	22.342846366607997
12	syr_zu	syr	hft	6000.0	4	16.76100075433744
6	syr_zu	syr	hft	3000.0	11	19.194241890872515
5	syr_zu	syr	hft	750.0	63	25.932486799094796
13	syr_zu	syr	unigram	8000.0	2	17.62169977369877
31	syr_zu	zu	unigram	750.0	42	32.61484332050577
2	syr_zu	syr	unigram	750.0	32	26.49849132511944
29	syr_zu	zu	unigram	1500.0	16	27.88323254535459
3	syr_zu	syr	unigram	6000.0	2	18.15489062107116
27	syr_zu	zu	unigram	3000.0	6	24.28345244639912
23	syr_zu	zu	unigram	500.0	74	36.006706981858166
21	syr_zu	zu	unigram	4000.0	4	23.126003298515666
20	syr_zu	zu	unigram	8000.0	2	20.876855415063222
18	syr_zu	syr	unigram	4000.0	4	19.23447322102087
32	syr_zu	zu	unigram	6000.0	3	21.762506871907643
14	syr_zu	syr	unigram	3000.0	6	20.114910736736235
4	syr_zu	syr	unigram	500.0	52	29.062861453356803
16	syr_zu	syr	unigram	1500.0	14	22.91702288156902
