	lang	tokenizer	vocab_size	freq@95%	avg_len	weighted
0	zu	bpe	3000.0	4	24.465640461792194	28.282404740693412
15	zu	bpe	8000.0	2	20.66882902693788	8.436991376295433
14	zu	bpe	500.0	15	37.00208905992304	316.86880452543164
13	zu	bpe	750.0	11	33.29147883452446	176.59082087285248
20	zu	bpe	6000.0	2	21.634744365035733	12.099428991685723
3	zu	bpe	4000.0	3	23.195931830676194	20.010861560621326
2	zu	bpe	1500.0	7	28.22253985706432	68.37979013862383
5	zu	hft	3000.0	14	22.378999450247388	29.738812867415117
7	zu	hft	6000.0	5	19.32853216052776	11.537014138291307
8	zu	hft	8000.0	4	18.246289169873556	7.753823875714915
9	zu	hft	500.0	56	36.03815283122595	328.40585480419134
19	zu	hft	750.0	76	32.384057174271575	204.27913761180892
11	zu	hft	1500.0	37	26.559098405717428	77.24500593437088
16	zu	hft	4000.0	10	21.017262231995602	20.170389049483145
6	zu	unigram	500.0	74	36.006706981858166	268.024637484754
12	zu	unigram	1500.0	16	27.88323254535459	56.74363620144512
1	zu	unigram	8000.0	2	20.876855415063222	6.1692336712323
17	zu	unigram	750.0	42	32.61484332050577	147.64945780292314
18	zu	unigram	6000.0	3	21.762506871907643	8.978863316839178
4	zu	unigram	4000.0	4	23.126003298515666	15.312738113920712
10	zu	unigram	3000.0	6	24.28345244639912	22.426567172528646
