dataset	lang	tokenizer	vocab_size	train	token	model_type
en_hi	en	en_char_0.785k	785	5.4905104637146	90.4436159133911	char
en_hi	hi	hi_char_0.785k	785	5.88103365898132	104.711044788361	char
en_hi	en	en_unigram_0.5k	500	83.2401428222656	128.699025630951	unigram
en_hi	en	en_unigram_0.75k	750	88.682343006134	135.980235338211	unigram
en_hi	en	en_unigram_1.5k	1500	82.1473665237427	126.690909385681	unigram
en_hi	en	en_unigram_3.0k	3000	82.6979174613953	135.841848373413	unigram
en_hi	en	en_unigram_4.0k	4000	89.6457052230835	128.861554384232	unigram
en_hi	en	en_unigram_6.0k	6000	88.2270214557648	127.805258989334	unigram
en_hi	en	en_unigram_8.0k	8000	90.6580274105072	135.945043563843	unigram
en_hi	hi	hi_unigram_0.5k	500	79.7605619430542	85.8548114299774	unigram
en_hi	hi	hi_unigram_0.75k	750	79.9528102874756	81.8243312835693	unigram
en_hi	hi	hi_unigram_1.5k	1500	79.5474638938904	77.3359286785126	unigram
en_hi	hi	hi_unigram_3.0k	3000	77.705317735672	72.3924841880798	unigram
en_hi	hi	hi_unigram_4.0k	4000	76.016402721405	70.7830262184143	unigram
en_hi	hi	hi_unigram_6.0k	6000	75.713226556778	73.4445643424988	unigram
en_hi	hi	hi_unigram_8.0k	8000	75.5643782615662	72.4924705028534	unigram
en_hi	en	en_bpe_0.5k	500	20.0660006999969	132.512966156006	bpe
en_hi	en	en_bpe_1.0k	1000	21.2297134399414	129.184993028641	bpe
en_hi	en	en_bpe_2.0k	2000	21.832245349884	120.744548797607	bpe
en_hi	en	en_bpe_4.0k	4000	24.145161151886	128.45089006424	bpe
en_hi	en	en_bpe_8.0k	8000	27.8097262382507	136.97882771492	bpe
en_hi	en	en_bpe_16.0k	16000	40.3654203414917	138.165730714798	bpe
en_hi	en	en_bpe_32.0k	32000	69.3681015968323	135.029373407364	bpe
en_hi	hi	hi_bpe_0.5k	500	21.4538249969482	138.374757528305	bpe
en_hi	hi	hi_bpe_1.0k	1000	23.8175332546234	132.580823421478	bpe
en_hi	hi	hi_bpe_2.0k	2000	25.1879231929779	135.984688997269	bpe
en_hi	hi	hi_bpe_4.0k	4000	28.1804316043854	140.965608596802	bpe
en_hi	hi	hi_bpe_8.0k	8000	35.404598236084	141.309329748154	bpe
en_hi	hi	hi_bpe_16.0k	16000	59.8943877220154	151.245084762573	bpe
en_hi	hi	hi_bpe_32.0k	32000	112.268789768219	149.087747097015	bpe
en_hi	hi	hi_hft_0.5k	500	56.7148103713989	287.749422550201	hft
en_hi	hi	hi_hft_0.75k	750	66.0712096691132	311.932533979416	hft
en_hi	hi	hi_hft_1.5k	1500	125.191790103912	329.997655153275	hft
en_hi	hi	hi_hft_3.0k	3000	258.209535121918	354.204426527023	hft
en_hi	hi	hi_hft_4.0k	4000	358.579618930817	355.679266214371	hft
en_hi	hi	hi_hft_6.0k	6000	542.869564771652	358.059819221497	hft
en_hi	hi	hi_hft_8.0k	8000	708.485359430313	396.158452272415	hft
en_hi	en	en_hft_0.5k	500	56.439612865448	282.596974372864	hft
en_hi	en	en_hft_0.75k	750	54.6454427242279	279.937672376633	hft
en_hi	en	en_hft_1.5k	1500	120.823594808579	342.546541929245	hft
en_hi	en	en_hft_3.0k	3000	277.498164653778	366.797996997833	hft
en_hi	en	en_hft_4.0k	4000	406.708613872528	379.904641151428	hft
en_hi	en	en_hft_6.0k	6000	690.212651968002	405.666169404984	hft
en_hi	en	en_hft_8.0k	8000	961.395059108734	402.285756349564	hft
lt_en	en	en_char_0.24k	240	3.04444599151611	53.1830763816834	char
lt_en	lt	lt_char_0.262k	262	3.2456579208374	43.2570855617523	char
lt_en	lt	lt_unigram_0.5k	500	51.5775291919708	34.913512468338	unigram
lt_en	lt	lt_unigram_0.75k	750	51.7329518795013	32.8231513500214	unigram
lt_en	lt	lt_unigram_1.5k	1500	49.4293186664581	30.1090767383575	unigram
lt_en	lt	lt_unigram_3.0k	3000	49.0051853656769	36.7283709049225	unigram
lt_en	lt	lt_unigram_4.0k	4000	47.6573429107666	28.4222207069397	unigram
lt_en	lt	lt_unigram_6.0k	6000	46.7344853878021	28.2830944061279	unigram
lt_en	lt	lt_unigram_8.0k	8000	46.9434926509857	28.4169220924377	unigram
lt_en	en	en_unigram_0.5k	500	37.1047692298889	31.8954756259918	unigram
lt_en	en	en_unigram_0.75k	750	36.9789831638336	29.6527049541473	unigram
lt_en	en	en_unigram_1.5k	1500	37.6037015914917	28.3507447242737	unigram
lt_en	en	en_unigram_3.0k	3000	35.7351288795471	29.0744819641113	unigram
lt_en	en	en_unigram_4.0k	4000	40.1989011764526	35.6025414466858	unigram
lt_en	en	en_unigram_6.0k	6000	35.5869936943054	28.1011929512024	unigram
lt_en	en	en_unigram_8.0k	8000	36.0947780609131	27.963892698288	unigram
lt_en	en	en_bpe_0.5k	500	8.01594567298889	47.7850482463837	bpe
lt_en	en	en_bpe_1.0k	1000	10.477263212204	74.3148534297943	bpe
lt_en	en	en_bpe_2.0k	2000	10.013867855072	72.7385926246643	bpe
lt_en	en	en_bpe_4.0k	4000	10.7333126068115	75.8657767772675	bpe
lt_en	en	en_bpe_8.0k	8000	11.8687701225281	82.5192918777466	bpe
lt_en	en	en_bpe_16.0k	16000	14.2156882286072	91.4674327373505	bpe
lt_en	en	en_bpe_32.0k	32000	15.3325388431549	75.9168229103088	bpe
lt_en	en	en_hft_0.5k	500	33.0284309387207	216.477749824524	hft
lt_en	en	en_hft_0.75k	750	37.1823604106903	218.790856599808	hft
lt_en	en	en_hft_1.5k	1500	55.8795232772827	239.662378549576	hft
