dataset	lang	tokenizer	vocab_size	train	token	model_type
en_ga	ga	ga_char_0.118k	118	0.0412003993988037	1.01024961471558	char
en_ga	ga	ga_unigram_0.5k	500	0.936496019363403	0.54106879234314	unigram
en_ga	ga	ga_unigram_0.75k	750	0.843444347381592	0.583917617797852	unigram
en_ga	ga	ga_unigram_1.5k	1500	0.834975957870483	0.536366701126099	unigram
en_ga	ga	ga_unigram_3.0k	3000	0.779134035110474	0.531905174255371	unigram
en_ga	ga	ga_unigram_4.0k	4000	0.817176580429077	0.518885374069214	unigram
en_ga	ga	ga_unigram_6.0k	6000	0.595554113388062	0.544465303421021	unigram
en_ga	ga	ga_unigram_8.0k	8000	0.529317378997803	0.553909540176392	unigram
en_ga	ga	ga_bpe_0.5k	500	0.253964424133301	0.832423448562622	bpe
en_ga	ga	ga_bpe_1.0k	1000	0.306515455245972	0.771917343139648	bpe
en_ga	ga	ga_bpe_2.0k	2000	0.380864143371582	0.914849758148193	bpe
en_ga	ga	ga_bpe_4.0k	4000	0.439521789550781	0.709635257720947	bpe
en_ga	ga	ga_bpe_8.0k	8000	0.706770658493042	0.806578159332275	bpe
en_ga	ga	ga_bpe_16.0k	16000	1.18263411521912	0.789379596710205	bpe
en_ga	ga	ga_bpe_32.0k	32000	1.90378499031067	0.809035301208496	bpe
en_ga	ga	ga_hft_0.5k	500	2.56955623626709	2.35592865943909	hft
en_ga	ga	ga_hft_0.75k	750	4.24840593338013	2.61995816230774	hft
en_ga	ga	ga_hft_1.5k	1500	10.6189963817596	2.68190145492554	hft
en_ga	ga	ga_hft_3.0k	3000	27.3754997253418	2.93318676948547	hft
en_ga	ga	ga_hft_4.0k	4000	38.8452787399292	2.97122669219971	hft
en_ga	ga	ga_hft_6.0k	6000	63.4953863620758	3.00284337997437	hft
en_ga	ga	ga_hft_8.0k	8000	89.9870848655701	3.14497137069702	hft
en_hi	hi	hi_char_0.785k	785	5.88103365898132	104.711044788361	char
en_hi	hi	hi_unigram_0.5k	500	79.7605619430542	85.8548114299774	unigram
en_hi	hi	hi_unigram_0.75k	750	79.9528102874756	81.8243312835693	unigram
en_hi	hi	hi_unigram_1.5k	1500	79.5474638938904	77.3359286785126	unigram
en_hi	hi	hi_unigram_3.0k	3000	77.705317735672	72.3924841880798	unigram
en_hi	hi	hi_unigram_4.0k	4000	76.016402721405	70.7830262184143	unigram
en_hi	hi	hi_unigram_6.0k	6000	75.713226556778	73.4445643424988	unigram
en_hi	hi	hi_unigram_8.0k	8000	75.5643782615662	72.4924705028534	unigram
en_hi	hi	hi_bpe_0.5k	500	21.4538249969482	138.374757528305	bpe
en_hi	hi	hi_bpe_1.0k	1000	23.8175332546234	132.580823421478	bpe
en_hi	hi	hi_bpe_2.0k	2000	25.1879231929779	135.984688997269	bpe
en_hi	hi	hi_bpe_4.0k	4000	28.1804316043854	140.965608596802	bpe
en_hi	hi	hi_bpe_8.0k	8000	35.404598236084	141.309329748154	bpe
en_hi	hi	hi_bpe_16.0k	16000	59.8943877220154	151.245084762573	bpe
en_hi	hi	hi_bpe_32.0k	32000	112.268789768219	149.087747097015	bpe
en_hi	hi	hi_hft_0.5k	500	56.7148103713989	287.749422550201	hft
en_hi	hi	hi_hft_0.75k	750	66.0712096691132	311.932533979416	hft
en_hi	hi	hi_hft_1.5k	1500	125.191790103912	329.997655153275	hft
en_hi	hi	hi_hft_3.0k	3000	258.209535121918	354.204426527023	hft
en_hi	hi	hi_hft_4.0k	4000	358.579618930817	355.679266214371	hft
en_hi	hi	hi_hft_6.0k	6000	542.869564771652	358.059819221497	hft
en_hi	hi	hi_hft_8.0k	8000	708.485359430313	396.158452272415	hft
lt_en	lt	lt_char_0.262k	262	3.2456579208374	43.2570855617523	char
lt_en	lt	lt_unigram_0.5k	500	51.5775291919708	34.913512468338	unigram
lt_en	lt	lt_unigram_0.75k	750	51.7329518795013	32.8231513500214	unigram
lt_en	lt	lt_unigram_1.5k	1500	49.4293186664581	30.1090767383575	unigram
lt_en	lt	lt_unigram_3.0k	3000	49.0051853656769	36.7283709049225	unigram
lt_en	lt	lt_unigram_4.0k	4000	47.6573429107666	28.4222207069397	unigram
lt_en	lt	lt_unigram_6.0k	6000	46.7344853878021	28.2830944061279	unigram
lt_en	lt	lt_unigram_8.0k	8000	46.9434926509857	28.4169220924377	unigram
lt_en	lt	lt_bpe_0.5k	500	14.4394500255585	77.7290771007538	bpe
lt_en	lt	lt_bpe_1.0k	1000	15.5014753341675	68.2799069881439	bpe
lt_en	lt	lt_bpe_2.0k	2000	16.1587400436401	83.0961441993713	bpe
lt_en	lt	lt_bpe_4.0k	4000	17.528874874115	68.3746616840363	bpe
lt_en	lt	lt_bpe_8.0k	8000	19.598048210144	64.0378434658051	bpe
lt_en	lt	lt_bpe_16.0k	16000	25.6908514499664	61.9470427036285	bpe
lt_en	lt	lt_bpe_32.0k	32000	71.1743445396423	72.3143048286438	bpe
lt_en	lt	lt_hft_0.5k	500	65.731204032898	198.166482210159	hft
lt_en	lt	lt_hft_0.75k	750	88.3950741291046	201.437429666519	hft
lt_en	lt	lt_hft_1.5k	1500	176.757920980453	213.650056600571	hft
lt_en	lt	lt_hft_3.0k	3000	917.720017910004	248.201472759247	hft
lt_en	lt	lt_hft_4.0k	4000	563.272607088089	244.249817371368	hft
lt_en	lt	lt_hft_6.0k	6000	837.050937652588	268.789631843567	hft
lt_en	lt	lt_hft_8.0k	8000	1163.36953902245	273.638902425766	hft
en_mr	mr	mr_char_0.141k	141	0.112520694732666	2.43797302246094	char
en_mr	mr	mr_unigram_0.5k	500	3.35969519615173	1.9054708480835	unigram
en_mr	mr	mr_unigram_0.75k	750	2.61356282234192	1.71960210800171	unigram
en_mr	mr	mr_unigram_1.5k	1500	2.45412421226501	1.28864359855652	unigram
en_mr	mr	mr_unigram_3.0k	3000	2.30668544769287	1.12431025505066	unigram
en_mr	mr	mr_unigram_4.0k	4000	2.25877213478088	1.38804197311401	unigram
en_mr	mr	mr_unigram_6.0k	6000	2.69290494918823	2.02501487731934	unigram
en_mr	mr	mr_unigram_8.0k	8000	2.25239157676697	1.92069602012634	unigram
en_mr	mr	mr_bpe_0.5k	500	0.925594568252564	2.88143634796143	bpe
en_mr	mr	mr_bpe_1.0k	1000	1.01919269561768	3.04908561706543	bpe
en_mr	mr	mr_bpe_2.0k	2000	1.32805252075195	2.74012780189514	bpe
en_mr	mr	mr_bpe_4.0k	4000	1.70348334312439	2.91856217384338	bpe
en_mr	mr	mr_bpe_8.0k	8000	2.47178220748901	3.04023003578186	bpe
en_mr	mr	mr_bpe_16.0k	16000	4.84833216667175	2.81424331665039	bpe
en_mr	mr	mr_bpe_32.0k	32000	10.476167678833	3.00264716148376	bpe
en_mr	mr	mr_hft_0.5k	500	4.31460428237915	5.61529731750488	hft
en_mr	mr	mr_hft_0.75k	750	6.84190201759338	6.06109642982483	hft
en_mr	mr	mr_hft_1.5k	1500	16.1663687229157	6.47289562225342	hft
en_mr	mr	mr_hft_3.0k	3000	37.5702133178711	6.75350761413574	hft
en_mr	mr	mr_hft_4.0k	4000	52.481347322464	7.11117696762085	hft
en_mr	mr	mr_hft_6.0k	6000	83.307986497879	7.10899090766907	hft
en_mr	mr	mr_hft_8.0k	8000	115.608410358429	7.35850238800049	hft
